sampling_lr,lengthscale,delta,eta,alpha,classifier_free_guidance_weight,mean (100th),std (100th),mean (80th),std (80th),mean (50th),std (50th)
0.05,5.0,0.25,0.0,0.6,-4.0,0.9702266305685043,0.02198952654765929,0.7492848783731461,0.031745211814068405,0.5885135307908058,0.020255631745267507
0.05,5.0,0.25,0.0,0.65,-4.0,0.973982609808445,0.01910202069847487,0.7559129297733307,0.02898242602810347,0.5918752327561378,0.01920905501523815
0.05,5.0,0.25,0.0,0.7,-4.0,0.973982609808445,0.01910202069847487,0.748962752521038,0.03504427189342478,0.587356448173523,0.025169760163828533
0.05,5.0,0.25,0.0,0.75,-4.0,0.9652555957436562,0.028268246214605757,0.7437134012579918,0.03842204366362245,0.5888085961341858,0.028028140180713902
0.05,5.0,0.25,0.0,0.8,-4.0,0.9652555957436562,0.028268246214605757,0.7419314086437225,0.033695566125638524,0.589070163667202,0.0338852976515282
0.05,5.0,0.25,0.0,0.85,-4.0,0.9627198204398155,0.030994201121698463,0.7419777885079384,0.03402186112689974,0.5842769518494606,0.034092251785066884
0.05,5.0,0.25,0.0,0.9,-4.0,0.9627198204398155,0.030994201121698463,0.7339465692639351,0.03958759589358301,0.5807979851961136,0.035422415902679416
0.05,5.0,0.25,0.0,0.95,-4.0,0.9623409956693649,0.02281417488048426,0.7319274917244911,0.04218541984850203,0.5783434063196182,0.034902583824548014
0.05,5.0,0.25,0.0,1.0,-4.0,0.9572733268141747,0.02638053956719101,0.7277746573090553,0.050158043553429524,0.5709267929196358,0.03770589785359389
0.05,5.0,0.25,0.0,0.6,-3.5,0.9660802260041237,0.02625996044278487,0.7573083788156509,0.020047938269072075,0.5932900160551071,0.019254948133027673
0.05,5.0,0.25,0.0,0.65,-3.5,0.9631244093179703,0.023726915350563104,0.7584216296672821,0.019231727819637383,0.5930207148194313,0.020307772765768037
0.05,5.0,0.25,0.0,0.7,-3.5,0.965889535844326,0.024187641003497455,0.7556243017315865,0.024873743116632055,0.59044498950243,0.02174882910169115
0.05,5.0,0.25,0.0,0.75,-3.5,0.973982609808445,0.01910202069847487,0.7500773146748543,0.03491933258713476,0.5830760672688484,0.02391287743142918
