sampling_lr,lengthscale,delta,eta,alpha,classifier_free_guidance_weight,mean (100th),std (100th),mean (80th),std (80th),mean (50th),std (50th)
0.05,5.0,0.25,0.0,0.6,-4.0,0.9516155198216438,0.0185909560040646,0.7610089331865311,0.016319126920321496,0.6018752828240395,0.008888384662791366
0.05,5.0,0.25,0.0,0.65,-4.0,0.9496209174394608,0.0171478803749667,0.7577310055494308,0.013103653980322842,0.598150223493576,0.010730498526876197
0.05,5.0,0.25,0.0,0.7,-4.0,0.9496209174394608,0.0171478803749667,0.7603672742843628,0.014579046707864331,0.5957677885890007,0.012196555423501947
0.05,5.0,0.25,0.0,0.75,-4.0,0.948905810713768,0.019208812802703232,0.7612679451704025,0.01386932859729383,0.5953168272972107,0.014527952446626288
0.05,5.0,0.25,0.0,0.8,-4.0,0.9478286132216454,0.020428050310371742,0.7624314576387405,0.018217532246605814,0.5964481234550476,0.014978207057442077
0.05,5.0,0.25,0.0,0.85,-4.0,0.9551150947809219,0.024736017791398817,0.7611197605729103,0.01882718728540799,0.5883640721440315,0.02034466048029328
0.05,5.0,0.25,0.0,0.9,-4.0,0.960024282336235,0.02233617619257938,0.7633823603391647,0.02408514352945671,0.5914435833692551,0.022842578761751723
0.05,5.0,0.25,0.0,0.95,-4.0,0.9636166244745255,0.021321533202542684,0.761128768324852,0.024484286913214425,0.5856955870985985,0.025219903304822103
0.05,5.0,0.25,0.0,1.0,-4.0,0.967207670211792,0.018233175049548123,0.7569591850042343,0.024291307753310037,0.5814177617430687,0.02553376918509026
0.05,5.0,0.25,0.0,0.6,-3.5,0.9635637849569321,0.0218480836245423,0.7621711641550064,0.017403332674877318,0.5968063250184059,0.015464982283099941
0.05,5.0,0.25,0.0,0.65,-3.5,0.9625755026936531,0.0233530549888759,0.7596792131662369,0.018588454219427855,0.5946790128946304,0.01669317939071296
0.05,5.0,0.25,0.0,0.7,-3.5,0.9624724239110947,0.023260206391233544,0.7629842236638069,0.019973368004013833,0.5936546549201012,0.01742091956696307
0.05,5.0,0.25,0.0,0.75,-3.5,0.96591916680336,0.02060335544058079,0.7614496126770973,0.016967315681619573,0.5928725376725197,0.01874820842081783
0.05,5.0,0.25,0.0,0.8,-3.5,0.9609622955322266,0.020135860072509684,0.759451150894165,0.015512082431238992,0.5958025828003883,0.013379625822405091
0.05,5.0,0.25,0.0,0.85,-3.5,0.9576663076877594,0.019667500819612008,0.7590697556734085,0.01625137765942853,0.593038760125637,0.016029744239330315
0.05,5.0,0.25,0.0,0.9,-3.5,0.956670306622982,0.020488142664417074,0.7632019817829132,0.01745888905889382,0.5914964079856873,0.01305935994241695
0.05,5.0,0.25,0.0,0.95,-3.5,0.9559010714292526,0.023936273160378562,0.7594846487045288,0.01762735147570753,0.5870201662182808,0.017433900672817398
0.05,5.0,0.25,0.0,1.0,-3.5,0.9584175124764442,0.02222994146900081,0.7570004239678383,0.01659835770680938,0.5870072692632675,0.021151549656045536
0.05,5.0,0.25,0.0,0.6,-3,0.9571869894862175,0.022160153995190446,0.7667092755436897,0.011631767913515773,0.5962909311056137,0.014362651492184476
0.05,5.0,0.25,0.0,0.65,-3,0.9571869894862175,0.022160153995190446,0.7655148282647133,0.011948970508110947,0.5948838964104652,0.01366549860828598
0.05,5.0,0.25,0.0,0.7,-3,0.957295224070549,0.02228802345021198,0.7642791643738747,0.013876472258895307,0.5931302309036255,0.012797966954540652
0.05,5.0,0.25,0.0,0.75,-3,0.957295224070549,0.02228802345021198,0.7602293938398361,0.014270791103039774,0.5920968577265739,0.013114015658925771
0.05,5.0,0.25,0.0,0.8,-3,0.9602188318967819,0.025464552390724104,0.7564193084836006,0.017003760181835366,0.5946609824895859,0.01588550462029547
