sampling_lr,lengthscale,delta,eta,alpha,classifier_free_guidance_weight,mean (100th),std (100th),mean (80th),std (80th),mean (50th),std (50th)
0.05,5.0,0.25,0.0,0.6,-4.0,0.979056715965271,0.017484710301790017,0.771708644926548,0.017865318831689996,0.6062858179211617,0.010049196915587203
0.05,5.0,0.25,0.0,0.65,-4.0,0.979056715965271,0.017484710301790017,0.7716326341032982,0.015883541735325933,0.6032990738749504,0.016512846736618386
0.05,5.0,0.25,0.0,0.7,-4.0,0.9786211997270584,0.017344505265929268,0.7748010456562042,0.01901965501977276,0.6032797545194626,0.01533602947947122
0.05,5.0,0.25,0.0,0.75,-4.0,0.9786211997270584,0.017344505265929268,0.7753293439745903,0.016163035881038772,0.5993665903806686,0.013982978070975757
0.05,5.0,0.25,0.0,0.8,-4.0,0.9765480011701584,0.022039217530925286,0.7727845460176468,0.019216524218302732,0.6004592329263687,0.014089794024122982
0.05,5.0,0.25,0.0,0.85,-4.0,0.9732842296361923,0.025292929449286662,0.771439366042614,0.020640712917970417,0.59756138920784,0.011446338109819414
0.05,5.0,0.25,0.0,0.9,-4.0,0.9652993902564049,0.03390224561681139,0.7721351385116577,0.02228341868136333,0.5972830802202225,0.007625154838938582
0.05,5.0,0.25,0.0,0.95,-4.0,0.9605886340141296,0.041075641027111996,0.763354018330574,0.025311652622408524,0.5865073576569557,0.008233900405650222
0.05,5.0,0.25,0.0,1.0,-4.0,0.9696145802736282,0.031244747813847822,0.7646090090274811,0.0229035374613779,0.5843503996729851,0.009238413557686585
0.05,5.0,0.25,0.0,0.6,-3.5,0.9710770398378372,0.0183716622460601,0.7692463248968124,0.019399351233062242,0.5996023640036583,0.011664613490082566
0.05,5.0,0.25,0.0,0.65,-3.5,0.9745740219950676,0.014385300324497904,0.769165150821209,0.01975782805519393,0.5974428430199623,0.012890601834052827
0.05,5.0,0.25,0.0,0.7,-3.5,0.9728732034564018,0.017150420050944748,0.7693764716386795,0.019137769772778177,0.5988112315535545,0.011070111005534794
0.05,5.0,0.25,0.0,0.75,-3.5,0.9762915894389153,0.018880081226935855,0.7725938558578491,0.018680268428663376,0.5937487110495567,0.012533868878260697
0.05,5.0,0.25,0.0,0.8,-3.5,0.979056715965271,0.017484710301790017,0.7701805010437965,0.01922841133304866,0.5958064496517181,0.01213436127362033
0.05,5.0,0.25,0.0,0.85,-3.5,0.979056715965271,0.017484710301790017,0.7739300355315208,0.019882159557737783,0.5986128002405167,0.01278500292006087
0.05,5.0,0.25,0.0,0.9,-3.5,0.9765480011701584,0.022039217530925286,0.7710334956645966,0.01918944339672654,0.6001499816775322,0.009859465576856182
0.05,5.0,0.25,0.0,0.95,-3.5,0.970882460474968,0.02800599260627739,0.7723851352930069,0.02263502401674375,0.5997247844934464,0.008256492813566545
0.05,5.0,0.25,0.0,1.0,-3.5,0.9629994183778763,0.03616909128567633,0.7646657153964043,0.0225010562594791,0.5922540500760078,0.0076185704251152024
0.05,5.0,0.25,0.0,0.6,-3,0.9646873623132706,0.022374823541863192,0.7772118300199509,0.01434344804886186,0.6056995540857315,0.013833122628545193
0.05,5.0,0.25,0.0,0.65,-3,0.9665788859128952,0.022104796784965183,0.7729275748133659,0.018874956421321618,0.5997363701462746,0.014563151299329693
0.05,5.0,0.25,0.0,0.7,-3,0.9665788859128952,0.022104796784965183,0.7719418779015541,0.016496175818771486,0.6026999279856682,0.013720959380289586
0.05,5.0,0.25,0.0,0.75,-3,0.9665788859128952,0.022104796784965183,0.7679617032408714,0.018936064976715263,0.600901186466217,0.011150238820118325
0.05,5.0,0.25,0.0,0.8,-3,0.9665788859128952,0.022104796784965183,0.7671125754714012,0.01948509703474479,0.5958837643265724,0.014946267731585272
0.05,5.0,0.25,0.0,0.85,-3,0.9693762212991714,0.02031803514162618,0.7625461295247078,0.02382822945173,0.5941919535398483,0.01453368655811511
0.05,5.0,0.25,0.0,0.9,-3,0.9684330299496651,0.019048566905777064,0.7619804739952087,0.02285906100026008,0.5947627648711205,0.017185118279867934
0.05,5.0,0.25,0.0,0.95,-3,0.9692757055163383,0.020130284553265553,0.7647778168320656,0.023163341642176358,0.5964803323149681,0.018281802394062626
0.05,5.0,0.25,0.0,1.0,-3,0.9742183908820152,0.023058474021848376,0.763270266354084,0.02436402342415754,0.5929227843880653,0.012762040780970358
0.05,5.0,0.25,0.0,0.6,-2.5,0.9650404080748558,0.022339323485952172,0.7784616947174072,0.019334429231003886,0.5993536934256554,0.015166137730086396
0.05,5.0,0.25,0.0,0.65,-2.5,0.9648509994149208,0.022418002269338433,0.7787103727459908,0.01952956130359584,0.596607893705368,0.014200639467034957
0.05,5.0,0.25,0.0,0.7,-2.5,0.9710216298699379,0.019727132079650177,0.7784603908658028,0.019154995308156588,0.5999837666749954,0.011502464623044164
0.05,5.0,0.25,0.0,0.75,-2.5,0.9710216298699379,0.019727132079650177,0.7785802334547043,0.017747970639391732,0.6014256030321121,0.012065668669971606
0.05,5.0,0.25,0.0,0.8,-2.5,0.9710216298699379,0.019727132079650177,0.7740060538053513,0.013776805930728254,0.6016987636685371,0.011741824652546126
0.05,5.0,0.25,0.0,0.85,-2.5,0.9682642444968224,0.02280611215586902,0.7710424959659576,0.019040742961856205,0.5978474393486977,0.015315205310893422
0.05,5.0,0.25,0.0,0.9,-2.5,0.9682642444968224,0.02280611215586902,0.7726028710603714,0.019926171248988565,0.5985715761780739,0.01427141163095419
0.05,5.0,0.25,0.0,0.95,-2.5,0.9663727208971977,0.0232057154675662,0.7677954807877541,0.021948485208081885,0.5984839573502541,0.014646020734527204
0.05,5.0,0.25,0.0,1.0,-2.5,0.9663727208971977,0.0232057154675662,0.7633243799209595,0.022848588723110425,0.5961015224456787,0.017697738966715188
0.05,5.0,0.25,0.0,0.6,-2,0.9608360305428505,0.02040219193140444,0.7779785096645355,0.01673689329839324,0.6063747331500053,0.008770853070918875
0.05,5.0,0.25,0.0,0.65,-2,0.9608360305428505,0.02040219193140444,0.7787077873945236,0.017430296076740463,0.6063657104969025,0.008787439852035825
0.05,5.0,0.25,0.0,0.7,-2,0.9608360305428505,0.02040219193140444,0.7745137140154839,0.02173332094326507,0.6020028442144394,0.011291774990614884
0.05,5.0,0.25,0.0,0.75,-2,0.9634426608681679,0.018003104913874166,0.7769348099827766,0.01698005343730678,0.6020028442144394,0.011291774990614884
0.05,5.0,0.25,0.0,0.8,-2,0.9634426608681679,0.018003104913874166,0.7776447758078575,0.016567785496980455,0.6000662297010422,0.01201702658846214
0.05,5.0,0.25,0.0,0.85,-2,0.9634426608681679,0.018003104913874166,0.7724611386656761,0.020527322807057585,0.5993124544620514,0.012762987292831126
0.05,5.0,0.25,0.0,0.9,-2,0.9654978215694427,0.017847472432927263,0.7785183787345886,0.01667310168691967,0.6016832962632179,0.01154539881872985
0.05,5.0,0.25,0.0,0.95,-2,0.9699521735310555,0.01906398382399686,0.775089681148529,0.016667422124082756,0.5996590703725815,0.013210560170491768
0.05,5.0,0.25,0.0,1.0,-2,0.9691687598824501,0.02030807790588236,0.7783792167901993,0.015458186088291867,0.5979865938425064,0.016496320987959383
0.05,5.0,0.25,0.0,0.6,-1.5,0.9740109443664551,0.018520930671280106,0.7887297421693802,0.009838845232588905,0.602317251265049,0.012768555014583419
0.05,5.0,0.25,0.0,0.65,-1.5,0.9757323861122131,0.019133322116297313,0.7878677397966385,0.011033336891099586,0.602317251265049,0.012768555014583419
0.05,5.0,0.25,0.0,0.7,-1.5,0.9757323861122131,0.019133322116297313,0.7883006781339645,0.010524660358459953,0.6018198877573013,0.01175812157320071
0.05,5.0,0.25,0.0,0.75,-1.5,0.9757323861122131,0.019133322116297313,0.7858821600675583,0.01415868893998366,0.6026419475674629,0.012503713384905793
0.05,5.0,0.25,0.0,0.8,-1.5,0.9738550409674644,0.018519862293587198,0.7840924263000488,0.015408982726511908,0.6028145998716354,0.011508478224877444
0.05,5.0,0.25,0.0,0.85,-1.5,0.9738550409674644,0.018519862293587198,0.7823220267891884,0.01605453458292054,0.6029241234064102,0.011470149558963846
0.05,5.0,0.25,0.0,0.9,-1.5,0.9738550409674644,0.018519862293587198,0.7820772156119347,0.016515005126713125,0.6037861257791519,0.010650481143106499
0.05,5.0,0.25,0.0,0.95,-1.5,0.9738550409674644,0.018519862293587198,0.7804395332932472,0.01684514517576781,0.6034820452332497,0.010978245402392062
0.05,5.0,0.25,0.0,1.0,-1.5,0.9738550409674644,0.018519862293587198,0.7812074795365334,0.016572941830397155,0.6029447466135025,0.011188867498520634
0.05,5.0,0.25,0.05,0.6,-4.0,0.968617282807827,0.022362794884180266,0.7716081589460373,0.01401608724468966,0.6056274101138115,0.012811766344185105
0.05,5.0,0.25,0.05,0.65,-4.0,0.9774267598986626,0.022272735647205194,0.7713362872600555,0.014083919060290306,0.6069919168949127,0.01646919831282987
0.05,5.0,0.25,0.05,0.7,-4.0,0.9774267598986626,0.022272735647205194,0.7737715467810631,0.016168205175605792,0.6055436581373215,0.01764357004022435
0.05,5.0,0.25,0.05,0.75,-4.0,0.9794999584555626,0.01753669935019393,0.7757648602128029,0.016772265936963193,0.6041868478059769,0.015263390052261955
0.05,5.0,0.25,0.05,0.8,-4.0,0.9754721000790596,0.02140848788047795,0.7682412937283516,0.02031186199908167,0.6012001037597656,0.015608923342117472
0.05,5.0,0.25,0.05,0.85,-4.0,0.9737274721264839,0.025429711605118782,0.7630099877715111,0.026097942141590717,0.5944908857345581,0.012130379581267605
0.05,5.0,0.25,0.05,0.9,-4.0,0.9728216603398323,0.026668073404336804,0.7619070261716843,0.028714273501293245,0.5945334136486053,0.01061584621699169
0.05,5.0,0.25,0.05,0.95,-4.0,0.9728216603398323,0.026668073404336804,0.7620075270533562,0.028814208955940435,0.5912451595067978,0.010812989695084273
0.05,5.0,0.25,0.05,1.0,-4.0,0.9672012180089951,0.030258365754862102,0.7590749114751816,0.0323441234473172,0.5880896151065826,0.012056303501640523
0.05,5.0,0.25,0.05,0.6,-3.5,0.9671110287308693,0.019376832583384858,0.7686330005526543,0.021360836096431052,0.607445478439331,0.008724794942752592
0.05,5.0,0.25,0.05,0.65,-3.5,0.9633370116353035,0.02382000265417349,0.7690917178988457,0.02127147452969882,0.6008908674120903,0.007572514776674356
0.05,5.0,0.25,0.05,0.7,-3.5,0.9633370116353035,0.02382000265417349,0.7669875770807266,0.021595358351902384,0.6067058742046356,0.010730330609203273
0.05,5.0,0.25,0.05,0.75,-3.5,0.9686675444245338,0.024020931097237692,0.7699086293578148,0.019257767194490533,0.6072380170226097,0.01598702098199688
0.05,5.0,0.25,0.05,0.8,-3.5,0.9720859304070473,0.025847220774265576,0.7684577703475952,0.019793278054802906,0.6044368222355843,0.0163750417287444
0.05,5.0,0.25,0.05,0.85,-3.5,0.9794999584555626,0.01753669935019393,0.7657970264554024,0.015052071376043192,0.6016330495476723,0.010155287429194587
0.05,5.0,0.25,0.05,0.9,-3.5,0.9794999584555626,0.01753669935019393,0.7653370052576065,0.017967973367205865,0.5984723642468452,0.00855414575037617
0.05,5.0,0.25,0.05,0.95,-3.5,0.9738344177603722,0.025290180008223632,0.7646811753511429,0.019986950083532247,0.5972547233104706,0.00764357699209479
0.05,5.0,0.25,0.05,1.0,-3.5,0.9732571765780449,0.02685369541927797,0.7606687769293785,0.023145662232684223,0.5910467207431793,0.010765787861665804
0.05,5.0,0.25,0.05,0.6,-3,0.9646873623132706,0.022374823541863192,0.7750226780772209,0.021849732906976373,0.6012928932905197,0.012629677748827508
0.05,5.0,0.25,0.05,0.65,-3,0.9646873623132706,0.022374823541863192,0.7719199731945992,0.01864205482814889,0.6003316640853882,0.012935739996905964
0.05,5.0,0.25,0.05,0.7,-3,0.9646873623132706,0.022374823541863192,0.7707345485687256,0.019908178270131412,0.6012954637408257,0.011117505105405087
0.05,5.0,0.25,0.05,0.75,-3,0.9693362712860107,0.019156132061093248,0.7659207135438919,0.02155157900592539,0.6031637862324715,0.007483173323388904
0.05,5.0,0.25,0.05,0.8,-3,0.9635676518082619,0.02375274259205687,0.7626659497618675,0.022341142314599494,0.6031264215707779,0.0075606360687114574
0.05,5.0,0.25,0.05,0.85,-3,0.9635676518082619,0.02375274259205687,0.7663059681653976,0.021525813151337204,0.6007040366530418,0.007540686067361797
0.05,5.0,0.25,0.05,0.9,-3,0.9635676518082619,0.02375274259205687,0.7663008198142052,0.02011226658766207,0.598963275551796,0.014143889950401804
0.05,5.0,0.25,0.05,0.95,-3,0.9656408503651619,0.02081151645890323,0.7620552182197571,0.020445324075341203,0.5973668321967125,0.013387982522740644
0.05,5.0,0.25,0.05,1.0,-3,0.9667000025510788,0.022533508842503245,0.7608762383460999,0.02083403537171767,0.5981206074357033,0.012137875982471881
0.05,5.0,0.25,0.05,0.6,-2.5,0.9650404080748558,0.022339323485952172,0.7786446660757065,0.01570546621855308,0.6071568503975868,0.015424423236882796
0.05,5.0,0.25,0.05,0.65,-2.5,0.9650275260210037,0.02233572029245486,0.7791445925831795,0.01618946802446187,0.6048568859696388,0.013562666787144989
0.05,5.0,0.25,0.05,0.7,-2.5,0.9648381173610687,0.02241430286615477,0.7787567675113678,0.016581378750145703,0.6003561466932297,0.013436288121589764
0.05,5.0,0.25,0.05,0.75,-2.5,0.9674447476863861,0.019733205572840123,0.7756102308630943,0.018626440936298658,0.6006074026226997,0.012210557964456366
0.05,5.0,0.25,0.05,0.8,-2.5,0.9734465852379799,0.020768607479281245,0.7749531045556068,0.018997027629029283,0.6002633795142174,0.009638522659145375
0.05,5.0,0.25,0.05,0.85,-2.5,0.9734465852379799,0.020768607479281245,0.7733798399567604,0.019933576446429034,0.6006447747349739,0.010602128896547356
0.05,5.0,0.25,0.05,0.9,-2.5,0.9663727208971977,0.0232057154675662,0.7707165032625198,0.019320178562156943,0.5977791473269463,0.01561094009589757
0.05,5.0,0.25,0.05,0.95,-2.5,0.9663727208971977,0.0232057154675662,0.7648731470108032,0.0225760905612388,0.5976696237921715,0.016139125480716807
0.05,5.0,0.25,0.05,1.0,-2.5,0.9625987038016319,0.02692328626059261,0.7626569345593452,0.022104837026826224,0.5921187624335289,0.019265626413039534
0.05,5.0,0.25,0.05,0.6,-2,0.9657606780529022,0.017946692993542273,0.7824650555849075,0.01967127355601115,0.6077070459723473,0.008142680233127305
0.05,5.0,0.25,0.05,0.65,-2,0.9657606780529022,0.017946692993542273,0.7835628613829613,0.018762498063602532,0.6054869592189789,0.011131815100397787
0.05,5.0,0.25,0.05,0.7,-2,0.9657606780529022,0.017946692993542273,0.7819895967841148,0.014950831759036833,0.6058155298233032,0.011485833545748114
0.05,5.0,0.25,0.05,0.75,-2,0.9657606780529022,0.017946692993542273,0.7825977727770805,0.015756207698458286,0.6041533574461937,0.012120121596007456
0.05,5.0,0.25,0.05,0.8,-2,0.9657606780529022,0.017946692993542273,0.7853512987494469,0.01937914238679457,0.6004888564348221,0.015878587532359587
