sampling_lr,lengthscale,delta,eta,alpha,classifier_free_guidance_weight,mean (100th),std (100th),mean (80th),std (80th),mean (50th),std (50th)
0.05,6.0,0.5,0.0,0.6,-4.0,0.9620330482721329,0.017787323602407663,0.8029071092605591,0.01983565870104955,0.6586736664175987,0.020723012571550226
0.05,6.0,0.5,0.0,0.65,-4.0,0.9572733268141747,0.018011282033790182,0.8003507256507874,0.02005748190656187,0.6582162529230118,0.02401109997578808
0.05,6.0,0.5,0.0,0.7,-4.0,0.9622611105442047,0.015326466669833253,0.8004679828882217,0.020734248564981697,0.6585667133331299,0.02642809440142407
0.05,6.0,0.5,0.0,0.75,-4.0,0.9669216200709343,0.011249871647091226,0.7992593720555305,0.02240449830888297,0.6565540954470634,0.025303101206322426
0.05,6.0,0.5,0.0,0.8,-4.0,0.9669216200709343,0.011249871647091226,0.7996729835867882,0.017635694455217326,0.655949778854847,0.022941422810733893
0.05,6.0,0.5,0.0,0.85,-4.0,0.9670118093490601,0.011277243292410862,0.7888508513569832,0.020528465890897806,0.650593489408493,0.01985042079868249
0.05,6.0,0.5,0.0,0.9,-4.0,0.9624221697449684,0.01371916772729272,0.7847109138965607,0.022732678253471795,0.6445839181542397,0.024129863059310495
0.05,6.0,0.5,0.0,0.95,-4.0,0.9566419571638107,0.0175719114946535,0.782974012196064,0.02565195959257159,0.6314218863844872,0.02821861218183031
0.05,6.0,0.5,0.0,1.0,-4.0,0.9561059474945068,0.019128175696139196,0.7798751667141914,0.026890231267799727,0.6296334341168404,0.03432454984066089
0.05,6.0,0.5,0.0,0.6,-3.5,0.9658496007323265,0.012037633384981039,0.8096730262041092,0.01890625786834989,0.6619696542620659,0.01964452513437722
0.05,6.0,0.5,0.0,0.65,-3.5,0.9619647711515427,0.01692607581432656,0.8082595393061638,0.019174772779456485,0.6586917042732239,0.02195339057076305
0.05,6.0,0.5,0.0,0.7,-3.5,0.9597498401999474,0.01680251132479636,0.8083136603236198,0.020043004282241934,0.6568749248981476,0.020487773722140244
0.05,6.0,0.5,0.0,0.75,-3.5,0.9593722969293594,0.019450196491938933,0.807869128882885,0.02004133702450068,0.6594351753592491,0.022873928699192348
0.05,6.0,0.5,0.0,0.8,-3.5,0.9572733268141747,0.018011282033790182,0.8011380061507225,0.0209464067116312,0.6586607843637466,0.023137192746058747
0.05,6.0,0.5,0.0,0.85,-3.5,0.9572733268141747,0.018011282033790182,0.8017423078417778,0.019586568111787078,0.6556134819984436,0.02271488997266842
0.05,6.0,0.5,0.0,0.9,-3.5,0.9622611105442047,0.015326466669833253,0.7989153489470482,0.02529860246254375,0.6522272974252701,0.022753032103532994
0.05,6.0,0.5,0.0,0.95,-3.5,0.9622611105442047,0.015326466669833253,0.7969516739249229,0.026979832883414177,0.6523548737168312,0.02136284071653657
0.05,6.0,0.5,0.0,1.0,-3.5,0.9663495197892189,0.011361179249231551,0.7946645766496658,0.02939704468279608,0.6454845890402794,0.027438434026767898
0.05,6.0,0.5,0.0,0.6,-3,0.9679666087031364,0.013504279320576315,0.8195339292287827,0.01932493099042194,0.6557139828801155,0.029280178987485125
0.05,6.0,0.5,0.0,0.65,-3,0.9679666087031364,0.013504279320576315,0.8200158178806305,0.01862627187797253,0.6593694612383842,0.021542304252275633
0.05,6.0,0.5,0.0,0.7,-3,0.9679666087031364,0.013504279320576315,0.8190455734729767,0.01805744408877472,0.6581440940499306,0.022198814665020838
0.05,6.0,0.5,0.0,0.75,-3,0.9684948921203613,0.013463049487171244,0.8125115856528282,0.015716307105675332,0.6573091447353363,0.020424912258501658
0.05,6.0,0.5,0.0,0.8,-3,0.9668713808059692,0.012678493793231289,0.8102580085396767,0.01570207842113224,0.6544937714934349,0.02220035062017767
0.05,6.0,0.5,0.0,0.85,-3,0.9646564498543739,0.013353357345422732,0.8088574111461639,0.020286150642374788,0.6538791581988335,0.021514359584807848
0.05,6.0,0.5,0.0,0.9,-3,0.956157498061657,0.017286982138020462,0.809578962624073,0.02059540414600243,0.6573735699057579,0.020371950479619188
0.05,6.0,0.5,0.0,0.95,-3,0.9561897069215775,0.01773267876058756,0.8066476285457611,0.023366156494086993,0.6596568152308464,0.029135349636773958
0.05,6.0,0.5,0.0,1.0,-3,0.9572733268141747,0.018011282033790182,0.8030578717589378,0.022583347080892557,0.6553583517670631,0.0207915556866669
0.05,6.0,0.5,0.0,0.6,-2.5,0.9534503594040871,0.01889543244018301,0.8222281709313393,0.017611366376609403,0.6586711034178734,0.0358853208414091
0.05,6.0,0.5,0.0,0.65,-2.5,0.9534503594040871,0.01889543244018301,0.8228002712130547,0.01799924308034634,0.6671893671154976,0.03506551816410928
0.05,6.0,0.5,0.0,0.7,-2.5,0.963744193315506,0.01761533370097957,0.8230425119400024,0.018206643458951243,0.660066545009613,0.036068406085036114
0.05,6.0,0.5,0.0,0.75,-2.5,0.963407889008522,0.017452011166664564,0.8205943554639816,0.020380358524363214,0.6575256213545799,0.03125895777580129
0.05,6.0,0.5,0.0,0.8,-2.5,0.9633176997303963,0.017415683150922165,0.8192234039306641,0.023180749826096875,0.6571094319224358,0.0289173405360789
0.05,6.0,0.5,0.0,0.85,-2.5,0.9679666087031364,0.013504279320576315,0.8210041150450706,0.023723250443839293,0.6597044691443443,0.0248144658729613
0.05,6.0,0.5,0.0,0.9,-2.5,0.9674537852406502,0.012876439071811303,0.8185211643576622,0.019700636873829686,0.6583360731601715,0.02608469242689138
0.05,6.0,0.5,0.0,0.95,-2.5,0.9674537852406502,0.012876439071811303,0.8151684775948524,0.02144381839083944,0.6550568491220474,0.02453894579839386
0.05,6.0,0.5,0.0,1.0,-2.5,0.9674537852406502,0.012876439071811303,0.8137975186109543,0.01959426622270973,0.654303066432476,0.027401149218567664
0.05,6.0,0.5,0.0,0.6,-2,0.9689123630523682,0.017329219925725267,0.8281617164611816,0.018369129233863832,0.651638463139534,0.03100824940979169
0.05,6.0,0.5,0.0,0.65,-2,0.9673184901475906,0.01621779385281628,0.8282261416316032,0.01830227054031919,0.6509233340620995,0.03202371050929749
0.05,6.0,0.5,0.0,0.7,-2,0.9599688872694969,0.016635675610529827,0.8267121687531471,0.018030880569976815,0.6509903445839882,0.03477054308084247
0.05,6.0,0.5,0.0,0.75,-2,0.9567927345633507,0.020248278797675594,0.8276708051562309,0.018257241539936023,0.6531099304556847,0.03444328778222533
0.05,6.0,0.5,0.0,0.8,-2,0.9615511670708656,0.016219418543782546,0.8255937471985817,0.019594348377294735,0.6533959805965424,0.03488028942955689
0.05,6.0,0.5,0.0,0.85,-2,0.9615511670708656,0.016219418543782546,0.8258939608931541,0.019030837946877235,0.6552282199263573,0.03563699626302232
0.05,6.0,0.5,0.0,0.9,-2,0.9615511670708656,0.016219418543782546,0.8258218094706535,0.020171121601862314,0.6580796763300896,0.035352402895385736
0.05,6.0,0.5,0.0,0.95,-2,0.9611246734857559,0.015943806097171782,0.8244869187474251,0.018775840176697596,0.6562809348106384,0.03278298156800286
0.05,6.0,0.5,0.0,1.0,-2,0.9606981799006462,0.015651727517234242,0.8239277005195618,0.019296030731552036,0.6585151851177216,0.02911846728761347
0.05,6.0,0.5,0.0,0.6,-1.5,0.9750043898820877,0.0120859550755852,0.8318519815802574,0.011553779441245268,0.6465076506137848,0.02388990703417472
0.05,6.0,0.5,0.0,0.65,-1.5,0.9750043898820877,0.0120859550755852,0.831859715282917,0.01156122884786578,0.6455064862966537,0.02342330341378703
0.05,6.0,0.5,0.0,0.7,-1.5,0.9750043898820877,0.0120859550755852,0.8280599266290665,0.01613283584944775,0.6471377313137054,0.01993335220184196
0.05,6.0,0.5,0.0,0.75,-1.5,0.9712819084525108,0.01264168462794286,0.8277416750788689,0.0159796158180345,0.6475564911961555,0.020252885854060335
