sampling_lr,lengthscale,delta,eta,alpha,classifier_free_guidance_weight,mean (100th),std (100th),mean (80th),std (80th),mean (50th),std (50th)
0.001,1.0,0.25,0.0,1.0,-2.0,0.9417224079370499,0.01839224399848197,0.8293642774224281,0.0075899045738475465,0.7089564055204391,0.00789528385243651
0.001,1.0,0.25,0.0,0.85,-1.5,0.9569441825151443,0.009838597912133146,0.8411761894822121,0.006977154846059723,0.7243966311216354,0.016371307005069367
0.001,1.0,0.25,0.0,0.9,-1.5,0.962280161678791,0.020133242335716832,0.8412768244743347,0.010205018586284836,0.720924086868763,0.017192043512211902
0.001,1.0,0.25,0.0,0.95,-1.5,0.9680400863289833,0.01663696443382281,0.8366639539599419,0.00973546126567405,0.7141628712415695,0.014818187750186358
0.001,1.0,0.25,0.0,1.0,-1.5,0.960237592458725,0.014054379903533134,0.8403747081756592,0.015335481172524411,0.7194003462791443,0.013185191303330731
0.001,1.0,0.25,0.05,0.7,-3.5,0.9304568842053413,0.01735913014436158,0.7636149451136589,0.014627594571428523,0.618036724627018,0.022363274335299315
0.001,1.0,0.25,0.05,0.6,-3.0,0.9347564801573753,0.014302933685730034,0.8040710166096687,0.006292530882645176,0.6666778400540352,0.025068484862645107
0.001,1.0,0.25,0.05,0.6,-2.5,0.9524054229259491,0.020317662586743813,0.8264615461230278,0.018490915194896786,0.70285414904356,0.014904013581871498
0.001,1.0,0.25,0.05,0.65,-2.5,0.9402996450662613,0.019379576674835173,0.8193676024675369,0.015770482263210376,0.6991807371377945,0.016547288642920446
0.001,1.0,0.25,0.05,0.7,-2.5,0.9534142836928368,0.02135457096697015,0.8133883103728294,0.012676465698058862,0.6984772756695747,0.020275299454505884
0.001,1.0,0.25,0.05,0.75,-2.5,0.9519236162304878,0.008964342005656559,0.8165181130170822,0.011257685348542167,0.6868606507778168,0.019807124739397476
0.001,1.0,0.25,0.05,0.8,-2.5,0.9382714033126831,0.019471388184266167,0.814153641462326,0.009580271164480849,0.6823979765176773,0.014230453961485584
0.001,1.0,0.25,0.05,0.85,-2.5,0.94705481082201,0.01991034907701663,0.8114284723997116,0.014530371712285588,0.6785147860646248,0.023231281000362723
0.001,1.0,0.25,0.05,0.9,-2.5,0.9449658021330833,0.009456428529393494,0.8013171553611755,0.007483552806450435,0.6696631833910942,0.017401350315181606
0.001,1.0,0.25,0.05,1.0,-2.5,0.9427647441625595,0.01053865887825545,0.7966271489858627,0.014311695078897168,0.6656553149223328,0.02190639167376083
0.001,1.0,0.25,0.05,0.6,-2.0,0.9543004706501961,0.016520391700669965,0.835892990231514,0.00626481872843412,0.7146826013922691,0.0134276044410458
0.001,1.0,0.25,0.05,0.65,-2.0,0.9547607153654099,0.017271350842533575,0.8287011682987213,0.011359420377682037,0.7130094394087791,0.012861220513445515
0.001,1.0,0.25,0.05,0.7,-2.0,0.9436940923333168,0.010673584176343481,0.8333460614085197,0.013686406327256912,0.7128016650676727,0.011870920737083738
0.001,1.0,0.25,0.05,0.75,-2.0,0.9476174414157867,0.013372785995270534,0.8332570269703865,0.011815497926128762,0.7078543826937675,0.010425022061107703
0.001,1.0,0.25,0.05,0.8,-2.0,0.9466614350676537,0.007023455519936637,0.8337589800357819,0.01759414354758795,0.7092385366559029,0.01625436480367644
0.001,1.0,0.25,0.05,0.85,-2.0,0.946607381105423,0.014786278374193319,0.8270418345928192,0.014337077799570934,0.6963866055011749,0.013886378958586404
0.001,1.0,0.25,0.05,0.9,-2.0,0.9427617341279984,0.015758159984072526,0.8335889577865601,0.0074316173697654975,0.7054138630628586,0.012628201850739922
0.001,1.0,0.25,0.05,0.95,-2.0,0.9534373879432678,0.012923853349174863,0.8293770477175713,0.013545549791061883,0.6982117742300034,0.011262799077319302
0.001,1.0,0.25,0.05,1.0,-2.0,0.9414929375052452,0.01521965121054668,0.8241014331579208,0.011908889461801794,0.7033633142709732,0.014007329778875343
0.001,1.0,0.25,0.05,0.6,-1.5,0.9628594294190407,0.017577076625949258,0.8390296325087547,0.007958659562777727,0.7220085263252258,0.013361553236492857
0.001,1.0,0.25,0.05,0.65,-1.5,0.9568741321563721,0.007459913641493137,0.8440654203295708,0.013602450542011828,0.7209085822105408,0.011190150920291407
0.001,1.0,0.25,0.05,0.7,-1.5,0.9628125801682472,0.014492375847665407,0.8436949253082275,0.012109583885358354,0.7110228687524796,0.01610360317480925
0.001,1.0,0.25,0.05,0.75,-1.5,0.9603558629751205,0.010664180105691479,0.8414956405758858,0.008294134549927723,0.7180719673633575,0.011248420380834205
0.001,1.0,0.25,0.05,0.8,-1.5,0.9648516476154327,0.015509366048378364,0.8414092808961868,0.01089343565093514,0.7208805084228516,0.013926380310431623
0.001,1.0,0.25,0.05,0.85,-1.5,0.9624869450926781,0.01435194373887025,0.8341035842895508,0.009649511826479083,0.7103834077715874,0.006926572787324471
0.001,1.0,0.25,0.05,0.9,-1.5,0.9501241222023964,0.017871628048147865,0.8469475135207176,0.012474308054119981,0.7126335203647614,0.01814760243529692
