num_fit_samples,sampling_lr,lengthscale,delta,eta,alpha,classifier_free_guidance_weight,mean (100th),std (100th),mean (80th),std (80th),mean (50th),std (50th)
13000,0.05,6.5,0.25,0.0,1.0,-3.0,0.9746989980340004,0.010446091972943413,0.8205479755997658,0.03322986395106598,0.6701039597392082,0.048737029364929796
13000,0.05,6.5,0.25,0.0,1.0,-2.5,0.9780027195811272,0.01059878432249017,0.8314461037516594,0.028447703518142707,0.673839308321476,0.03176879723259954
13000,0.05,6.5,0.25,0.0,1.0,-2.0,0.9788312315940857,0.010069870561170296,0.8440463617444038,0.022794392873857042,0.6775179877877235,0.017888224626421513
13000,0.05,6.5,0.25,0.0,1.0,-1.5,0.9724351167678833,0.01684857827036658,0.8550127819180489,0.013722319143926484,0.6866264045238495,0.020965436271942958
13000,0.05,6.5,0.25,0.0,0.95,-3.0,0.9762722626328468,0.008493259622692755,0.8236867636442184,0.031746630759900356,0.6723820269107819,0.04030732247820347
13000,0.05,6.5,0.25,0.0,0.95,-2.5,0.9737493842840195,0.020473124595677808,0.8387300074100494,0.025279484140743366,0.6803964972496033,0.023069253440053793
13000,0.05,6.5,0.25,0.0,0.95,-2.0,0.9762722700834274,0.008371296324207739,0.8458695858716965,0.022351619962514228,0.6855466365814209,0.023584096151618147
13000,0.05,6.5,0.25,0.0,0.95,-1.5,0.9724351167678833,0.01684857827036658,0.8585291057825089,0.012575054924490407,0.6887356713414192,0.02204357766968923
13000,0.05,6.5,0.25,0.0,0.9,-3.0,0.9766987562179565,0.008251020836867682,0.8318468257784843,0.029946823423888453,0.6719735786318779,0.034059657966468156
13000,0.05,6.5,0.25,0.0,0.9,-2.5,0.9737493842840195,0.020473124595677808,0.8470176383852959,0.03126475196656766,0.6849101260304451,0.02150769274524307
13000,0.05,6.5,0.25,0.0,0.9,-2.0,0.9761923849582672,0.007841242084890945,0.8479208722710609,0.0172809180951154,0.6915819719433784,0.0227090763164856
13000,0.05,6.5,0.25,0.0,0.9,-1.5,0.9724351167678833,0.01684857827036658,0.8582134172320366,0.012428985028853425,0.6880656406283379,0.02302739603972479
13000,0.05,6.5,0.25,0.0,0.85,-3.0,0.9708270579576492,0.019059710706916394,0.8302954733371735,0.027535977244425296,0.6759550496935844,0.031019235734546843
13000,0.05,6.5,0.25,0.0,0.85,-2.5,0.9713347256183624,0.00894250612700188,0.8475162982940674,0.02601864733017878,0.6833342760801315,0.019199680810176725
13000,0.05,6.5,0.25,0.0,0.85,-2.0,0.9761923849582672,0.007841242084890945,0.84781264513731,0.016810538135639194,0.6865851730108261,0.014009660132937338
13000,0.05,6.5,0.25,0.0,0.85,-1.5,0.9724351167678833,0.01684857827036658,0.8590290322899818,0.01301578678732256,0.6901027634739876,0.02143811220193459
13000,0.05,6.5,0.25,0.0,0.8,-3.0,0.9708270579576492,0.019059710706916394,0.8330039083957672,0.027351661153846515,0.682259663939476,0.027734978081066026
