sampling_lr,lengthscale,delta,eta,alpha,classifier_free_guidance_weight,mean (100th),std (100th),mean (80th),std (80th),mean (50th),std (50th)
0.05,5.0,0.25,0.2,0.6,-3.5,0.635881595313549,0.04665448926095138,0.5197484493255615,0.007077777885240512,0.47067999094724655,0.005721289285819655
0.05,5.0,0.25,0.05,0.9,-4.0,0.6345715001225471,0.02765942910058505,0.5186477676033974,0.009209848084841748,0.4634116627275944,0.011879587989159102
0.05,5.0,0.25,0.0,0.95,-1.5,0.6201586723327637,0.023537739383490786,0.5240466445684433,0.007528773500629587,0.4740900658071041,0.008993549964461722
0.05,5.0,0.25,0.15,0.7,-3.0,0.6308611258864403,0.04937063712725505,0.5218919888138771,0.006298159584757317,0.4703375995159149,0.006114252466651612
0.05,5.0,0.25,0.0,0.6,-4.0,0.6448392644524574,0.023761672896087584,0.520285677164793,0.011006946200592137,0.46876486390829086,0.009524599357295235
0.05,5.0,0.25,0.05,0.9,-3.5,0.6429939940571785,0.03009391102398048,0.5203348994255066,0.008489959502095084,0.4668072536587715,0.011131414831832217
0.05,5.0,0.25,0.2,0.6,-3.0,0.6319834887981415,0.04835364320621084,0.52338457852602,0.008584097405446122,0.471000824123621,0.005864019904524371
0.05,5.0,0.25,0.15,0.7,-2.5,0.63463344424963,0.04949995960028016,0.5202679634094238,0.007914667988046643,0.47019876167178154,0.005473400067646976
0.05,5.0,0.25,0.0,1.0,-3.5,0.6427172049880028,0.027659254280425895,0.5183793343603611,0.01362658923766686,0.4651615731418133,0.012176638517020505
0.05,5.0,0.25,0.0,0.6,-3.5,0.6358273476362228,0.027273963154694592,0.5209494009613991,0.010075657188564945,0.4694906249642372,0.009280025069101205
0.05,5.0,0.25,0.2,0.6,-2.5,0.631145067512989,0.03298942390476335,0.5210606828331947,0.007489200321805355,0.46972841396927834,0.005426430489079883
0.05,5.0,0.25,0.05,0.9,-3.0,0.6447175219655037,0.029932622910426757,0.5251948833465576,0.008260138851168778,0.4688318222761154,0.009012323465596172
