num_fit_samples,sampling_lr,lengthscale,delta,eta,alpha,classifier_free_guidance_weight,mean (100th),std (100th),mean (80th),std (80th),mean (50th),std (50th)
15000,0.05,5.7,0.25,0.0,1.0,-3.0,0.9690605327486992,0.019099972460873138,0.8091795295476913,0.029384587885612157,0.631711795926094,0.030519559254574915
15000,0.05,5.7,0.25,0.0,1.0,-2.5,0.9671690091490746,0.01965217094223268,0.8097477629780769,0.028488078238709122,0.6493835896253586,0.020311565383063
15000,0.05,5.7,0.25,0.0,1.0,-2.0,0.9767580255866051,0.014452529285838083,0.826520174741745,0.025484456581205097,0.6477974429726601,0.023955090715418004
15000,0.05,5.7,0.25,0.0,1.0,-1.5,0.9766072705388069,0.014515554794095525,0.8295429944992065,0.015137870809598542,0.6508099511265755,0.027012833348265118
15000,0.05,5.7,0.25,0.0,0.95,-3.0,0.9633949920535088,0.024053613998775134,0.8130231350660324,0.02401809820279893,0.6409889906644821,0.024831229052519378
15000,0.05,5.7,0.25,0.0,0.95,-2.5,0.9718243628740311,0.011849085156996342,0.8164982125163078,0.023778096753566597,0.6499969065189362,0.0184640955443713
15000,0.05,5.7,0.25,0.0,0.95,-2.0,0.9767580255866051,0.014452529285838083,0.82916159927845,0.023251838298198685,0.6528548002243042,0.024644374634164593
15000,0.05,5.7,0.25,0.0,0.95,-1.5,0.9738112315535545,0.019452127510517232,0.8289026170969009,0.014172772712816663,0.6522994562983513,0.02828160369974698
15000,0.05,5.7,0.25,0.0,0.9,-3.0,0.9633949920535088,0.024053613998775134,0.8123015612363815,0.024507202506530754,0.6398628577589989,0.01898783536644188
15000,0.05,5.7,0.25,0.0,0.9,-2.5,0.9634890556335449,0.0182265535177842,0.8183368965983391,0.026477580749363624,0.6483875662088394,0.022290801316293487
15000,0.05,5.7,0.25,0.0,0.9,-2.0,0.9767580255866051,0.014452529285838083,0.8302761539816856,0.02191927846843958,0.6534410640597343,0.022748472683369218
15000,0.05,5.7,0.25,0.0,0.9,-1.5,0.9764178618788719,0.014785280205540145,0.8311793953180313,0.017344593720479196,0.6495124250650406,0.026180783131705625
15000,0.05,5.7,0.25,0.0,0.85,-3.0,0.9634851813316345,0.02407964033519789,0.8160330727696419,0.021483497003032533,0.6455799266695976,0.02162812421931075
15000,0.05,5.7,0.25,0.0,0.85,-2.5,0.9627971276640892,0.018433535782518645,0.8142626583576202,0.0225087531910278,0.6430737972259521,0.02080486226673218
15000,0.05,5.7,0.25,0.0,0.85,-2.0,0.9766072705388069,0.014515554794095525,0.8301460146903992,0.021807851761976478,0.6576080694794655,0.0224729980985883
15000,0.05,5.7,0.25,0.0,0.85,-1.5,0.9764178618788719,0.014785280205540145,0.8354610800743103,0.018260266047608616,0.6484429761767387,0.025307943250793618
15000,0.05,5.7,0.25,0.0,0.8,-3.0,0.9658238142728806,0.01867429567926645,0.8172764629125595,0.02320934804798484,0.6464457884430885,0.01783215876508425
15000,0.05,5.7,0.25,0.0,0.8,-2.5,0.9627971276640892,0.018433535782518645,0.8196911215782166,0.023638814564283173,0.6435428112745285,0.022548970886139514
15000,0.05,5.7,0.25,0.0,0.8,-2.0,0.9766072705388069,0.014515554794095525,0.8314370810985565,0.02131779429717789,0.6603951007127762,0.023721232318760145
15000,0.05,5.7,0.25,0.0,0.8,-1.5,0.9764178618788719,0.014785280205540145,0.8327075615525246,0.01987975317752881,0.6475642248988152,0.024659036865056907
15000,0.05,5.7,0.25,0.05,1.0,-3.0,0.96287702023983,0.021302517309775608,0.8032008856534958,0.032780375664926656,0.6344137936830521,0.03099489112079175
15000,0.05,5.7,0.25,0.05,1.0,-2.5,0.9673519805073738,0.023400359145922218,0.81258375197649,0.033666582687245324,0.638803705573082,0.019503853927254282
15000,0.05,5.7,0.25,0.05,1.0,-2.0,0.9782926291227341,0.014435899470329245,0.8263990432024002,0.02512527556321057,0.6497224494814873,0.019046941114097913
15000,0.05,5.7,0.25,0.05,1.0,-1.5,0.973683662712574,0.015307031511661337,0.8277390897274017,0.02003589050792398,0.6514194011688232,0.021336943441800395
15000,0.05,5.7,0.25,0.05,0.95,-3.0,0.96287702023983,0.021302517309775608,0.8070251643657684,0.027441768798027368,0.6370719745755196,0.025879058416277845
15000,0.05,5.7,0.25,0.05,0.95,-2.5,0.9649540781974792,0.024920562145702443,0.8177995905280113,0.027267513649672923,0.643109880387783,0.021125527725593726
15000,0.05,5.7,0.25,0.05,0.95,-2.0,0.9782926291227341,0.014435899470329245,0.8259004056453705,0.023371920525427546,0.6492521464824677,0.01778175910426467
15000,0.05,5.7,0.25,0.05,0.95,-1.5,0.973683662712574,0.015307031511661337,0.8265046998858452,0.020317350257768763,0.6480293646454811,0.02181151266549216
15000,0.05,5.7,0.25,0.05,0.9,-3.0,0.96287702023983,0.021302517309775608,0.813852921128273,0.0235467332634032,0.6443816348910332,0.025810747507814397
15000,0.05,5.7,0.25,0.05,0.9,-2.5,0.965646006166935,0.024707519514178346,0.8205041512846947,0.026402352594758427,0.6461494415998459,0.026095942007232278
15000,0.05,5.7,0.25,0.05,0.9,-2.0,0.9782926291227341,0.014435899470329245,0.8284284397959709,0.0214788514926445,0.6506488919258118,0.018751883646182646
15000,0.05,5.7,0.25,0.05,0.9,-1.5,0.973683662712574,0.015307031511661337,0.8272881135344505,0.018523431328431397,0.6519193425774574,0.022638427024638277
15000,0.05,5.7,0.25,0.05,0.85,-3.0,0.96287702023983,0.021302517309775608,0.812485821545124,0.02447735783326655,0.643924206495285,0.021793451570889258
15000,0.05,5.7,0.25,0.05,0.85,-2.5,0.972871907055378,0.017916569090168026,0.8236661404371262,0.02708952123733913,0.6491349041461945,0.027040169395279996
15000,0.05,5.7,0.25,0.05,0.85,-2.0,0.9800256565213203,0.01573190786420137,0.8276385888457298,0.020950691743182277,0.6516603529453278,0.019261189478826143
15000,0.05,5.7,0.25,0.05,0.85,-1.5,0.973683662712574,0.015307031511661337,0.8287737593054771,0.01740933872625458,0.6524708196520805,0.023882628136274352
15000,0.05,5.7,0.25,0.05,0.8,-3.0,0.9604829847812653,0.02152551074280176,0.8148128539323807,0.02900915843424224,0.650152824819088,0.020641493726003064
15000,0.05,5.7,0.25,0.05,0.8,-2.5,0.972871907055378,0.017916569090168026,0.8279284983873367,0.022424986710317812,0.6539397239685059,0.02513026017686909
15000,0.05,5.7,0.25,0.05,0.8,-2.0,0.9800256565213203,0.01573190786420137,0.8276450261473656,0.021242829402130507,0.6492457166314125,0.021388513379960828
15000,0.05,5.7,0.25,0.05,0.8,-1.5,0.9711079522967339,0.013908534430389037,0.8276501893997192,0.018929672642461513,0.6505187377333641,0.023860549211208056
15000,0.05,5.7,0.25,0.1,1.0,-3.0,0.96088757365942,0.022002197447201798,0.7984707951545715,0.03167349560093447,0.6338313892483711,0.030378476903167764
15000,0.05,5.7,0.25,0.1,1.0,-2.5,0.9693839401006699,0.02201140898801998,0.8167443200945854,0.027492318997258392,0.6431974843144417,0.025260424980483528
15000,0.05,5.7,0.25,0.1,1.0,-2.0,0.9706299230456352,0.021834711631728072,0.8218622356653214,0.027624501983171526,0.6442385986447334,0.015786203442793544
