num_fit_samples,sampling_lr,lengthscale,delta,eta,alpha,classifier_free_guidance_weight,mean (100th),std (100th),mean (80th),std (80th),mean (50th),std (50th)
16000,0.05,5.25,0.25,0.0,1.0,-3.0,0.967817135155201,0.022531072597845148,0.7821751460433006,0.02633921387409532,0.6036508455872536,0.013415984543390864
16000,0.05,5.25,0.25,0.0,1.0,-2.5,0.9592589065432549,0.012453489951099178,0.7971681356430054,0.016441063411072182,0.609099917113781,0.014698770626999837
16000,0.05,5.25,0.25,0.0,1.0,-2.0,0.9583389237523079,0.023518033835253783,0.8054596334695816,0.017321331749503486,0.6138029396533966,0.020294148126737802
16000,0.05,5.25,0.25,0.0,1.0,-1.5,0.9681998193264008,0.022394704621305845,0.812527060508728,0.018420862531070527,0.6121523752808571,0.007713171369710086
16000,0.05,5.25,0.25,0.0,0.95,-3.0,0.9737674295902252,0.01611429746807004,0.7818246707320213,0.020625404803155913,0.6027192622423172,0.01650156763149215
16000,0.05,5.25,0.25,0.0,0.95,-2.5,0.960378609597683,0.017874238510997405,0.7989527061581612,0.017136766793983925,0.6131664216518402,0.014897535212008832
16000,0.05,5.25,0.25,0.0,0.95,-2.0,0.9583389237523079,0.023518033835253783,0.8070045411586761,0.017269250465278236,0.6167033538222313,0.016435395599583295
16000,0.05,5.25,0.25,0.0,0.95,-1.5,0.969042494893074,0.02333015841985092,0.8138168528676033,0.018848540188088195,0.6092790216207504,0.0027374586803282776
16000,0.05,5.25,0.25,0.0,0.9,-3.0,0.96249820291996,0.017663316346026168,0.7899074256420135,0.0172462494622551,0.6120982468128204,0.013114162985603422
16000,0.05,5.25,0.25,0.0,0.9,-2.5,0.9618552327156067,0.019807211311463353,0.8031016737222672,0.015958802024477706,0.6171788051724434,0.01600929248475283
16000,0.05,5.25,0.25,0.0,0.9,-2.0,0.9604275822639465,0.025103124814568535,0.8059441074728966,0.017757441309659904,0.6191631034016609,0.013506371698476663
16000,0.05,5.25,0.25,0.0,0.9,-1.5,0.969042494893074,0.02333015841985092,0.8141441270709038,0.019026812468789234,0.6111228689551353,0.007615820182680125
16000,0.05,5.25,0.25,0.0,0.85,-3.0,0.9626991972327232,0.013549596593282837,0.7899886071681976,0.016572399003036028,0.6106345131993294,0.00998241667720455
16000,0.05,5.25,0.25,0.0,0.85,-2.5,0.9561832547187805,0.020453078383798715,0.8052315637469292,0.014655748848252258,0.6202312707901001,0.019650338927773594
16000,0.05,5.25,0.25,0.0,0.85,-2.0,0.9619621858000755,0.026073127513864983,0.8089798167347908,0.019724487491951728,0.6197841688990593,0.015480594230671278
16000,0.05,5.25,0.25,0.0,0.85,-1.5,0.9693259671330452,0.023549499534122276,0.8150692731142044,0.019973205064928858,0.6110043153166771,0.011234273001266011
16000,0.05,5.25,0.25,0.0,0.8,-3.0,0.9611645936965942,0.011671011337654613,0.7918260022997856,0.019489696209059694,0.611362524330616,0.014695291906098886
16000,0.05,5.25,0.25,0.0,0.8,-2.5,0.9528846964240074,0.02159841428166074,0.8022306337952614,0.021865702897469027,0.6222902983427048,0.021771658511721796
16000,0.05,5.25,0.25,0.0,0.8,-2.0,0.9646834954619408,0.026556888409418458,0.8100479766726494,0.015803238616297535,0.6200444400310516,0.019784828519715626
16000,0.05,5.25,0.25,0.0,0.8,-1.5,0.9693259671330452,0.023549499534122276,0.8105156943202019,0.023542090661142327,0.6124294027686119,0.011986941707044039
16000,0.05,5.25,0.25,0.05,1.0,-3.0,0.9725755676627159,0.01599400649415623,0.7779024690389633,0.021164466545655035,0.5978860929608345,0.01857964010642497
16000,0.05,5.25,0.25,0.05,1.0,-2.5,0.9658173769712448,0.01297773052646719,0.7952766045928001,0.018075511585335182,0.6070782542228699,0.016392645306884793
16000,0.05,5.25,0.25,0.05,1.0,-2.0,0.9648780524730682,0.017371882876368424,0.8031106889247894,0.02227821457082619,0.6159766390919685,0.023895704295297634
16000,0.05,5.25,0.25,0.05,1.0,-1.5,0.9708064496517181,0.01926125114588263,0.8158243298530579,0.02033747927555652,0.6179454773664474,0.015110520202956381
16000,0.05,5.25,0.25,0.05,0.95,-3.0,0.9677655920386314,0.014885773067059897,0.7827459499239922,0.024322692037365187,0.60170778632164,0.010630555914989799
16000,0.05,5.25,0.25,0.05,0.95,-2.5,0.9613888040184975,0.015181036659982017,0.799069955945015,0.01801613784763808,0.6139407977461815,0.020393664936056648
16000,0.05,5.25,0.25,0.05,0.95,-2.0,0.9620820134878159,0.020096655105231582,0.8073021844029427,0.017092124169602096,0.6194040477275848,0.02176602344746761
16000,0.05,5.25,0.25,0.05,0.95,-1.5,0.9708064496517181,0.01926125114588263,0.8138812631368637,0.024315631361307807,0.6183023825287819,0.01604292467192054
16000,0.05,5.25,0.25,0.05,0.9,-3.0,0.9665737301111221,0.014262439388266943,0.784167155623436,0.018539719347864206,0.6058516055345535,0.013479011454195569
16000,0.05,5.25,0.25,0.05,0.9,-2.5,0.9639645144343376,0.017927330550756588,0.8038554489612579,0.014801179915406021,0.6167716309428215,0.023440754999995757
16000,0.05,5.25,0.25,0.05,0.9,-2.0,0.9599327966570854,0.017705866808956017,0.8081294000148773,0.018354492566076415,0.6170744448900223,0.023620128871172107
16000,0.05,5.25,0.25,0.05,0.9,-1.5,0.9708064496517181,0.01926125114588263,0.8132151067256927,0.023491101338626363,0.6190458536148071,0.01456549687130468
16000,0.05,5.25,0.25,0.05,0.85,-3.0,0.9665737301111221,0.014262439388266943,0.7885158509016037,0.019908115412425285,0.604457437992096,0.014803736706718135
16000,0.05,5.25,0.25,0.05,0.85,-2.5,0.9584819450974464,0.019242728043028668,0.8008506521582603,0.02199430109553408,0.6168412193655968,0.022541408666410807
16000,0.05,5.25,0.25,0.05,0.85,-2.0,0.9638446867465973,0.019523858817491652,0.8080933317542076,0.018402908993231364,0.6168553978204727,0.026748174695655755
16000,0.05,5.25,0.25,0.05,0.85,-1.5,0.9708064496517181,0.01926125114588263,0.8114356845617294,0.023236632707241134,0.6166427955031395,0.014470643818120991
16000,0.05,5.25,0.25,0.05,0.8,-3.0,0.962127111852169,0.01213376521362881,0.7942702919244766,0.015644465612749812,0.608955591917038,0.016940704575158543
16000,0.05,5.25,0.25,0.05,0.8,-2.5,0.9584819450974464,0.019242728043028668,0.8007540181279182,0.02348427122005972,0.618244394659996,0.024565747964210495
16000,0.05,5.25,0.25,0.05,0.8,-2.0,0.9662696421146393,0.021404763796220548,0.8082273378968239,0.019299408812742506,0.6161634624004364,0.024470569063703724
16000,0.05,5.25,0.25,0.05,0.8,-1.5,0.9708064496517181,0.01926125114588263,0.8105672374367714,0.02275693604704936,0.6151880770921707,0.012381194193687219
16000,0.05,5.25,0.25,0.1,1.0,-3.0,0.9698091521859169,0.01478685823092624,0.7802836298942566,0.025460563124822293,0.6001950725913048,0.013155427619621067
16000,0.05,5.25,0.25,0.1,1.0,-2.5,0.9651254490017891,0.01338773839142416,0.7911044433712959,0.022309392751957636,0.6039600670337677,0.013834438614990572
16000,0.05,5.25,0.25,0.1,1.0,-2.0,0.95889812707901,0.019353922467619744,0.8007231056690216,0.022325530384186217,0.6133841723203659,0.019129157509751724
16000,0.05,5.25,0.25,0.1,1.0,-1.5,0.9688762724399567,0.01837660008565375,0.8092053011059761,0.024341466323098408,0.6162768602371216,0.018672352928028643
16000,0.05,5.25,0.25,0.1,0.95,-3.0,0.9653419181704521,0.013127107896693023,0.7867093682289124,0.02296361504504441,0.6044071912765503,0.010990807874916504
16000,0.05,5.25,0.25,0.1,0.95,-2.5,0.9651254490017891,0.01338773839142416,0.7938502356410027,0.02236721970308542,0.60605388879776,0.01889964828307204
16000,0.05,5.25,0.25,0.1,0.95,-2.0,0.9625394269824028,0.015035586588675716,0.8038412779569626,0.017979436666227963,0.610950194299221,0.01934306051225053
16000,0.05,5.25,0.25,0.1,0.95,-1.5,0.9688762724399567,0.01837660008565375,0.809403732419014,0.024294426835895482,0.6177534833550453,0.017338540072712856
16000,0.05,5.25,0.25,0.1,0.9,-3.0,0.9653419181704521,0.013127107896693023,0.7844171300530434,0.02686323541748342,0.6053387671709061,0.011877943824243389
16000,0.05,5.25,0.25,0.1,0.9,-2.5,0.9625188186764717,0.016737443098140146,0.7952856197953224,0.02254952537301166,0.6107569187879562,0.019779330688725724
16000,0.05,5.25,0.25,0.1,0.9,-2.0,0.9625394269824028,0.015035586588675716,0.8033555075526237,0.017513694030388393,0.610950194299221,0.01934306051225053
16000,0.05,5.25,0.25,0.1,0.9,-1.5,0.9688762724399567,0.01837660008565375,0.8083033487200737,0.02398938705961995,0.6145000085234642,0.014712246964370408
16000,0.05,5.25,0.25,0.1,0.85,-3.0,0.9653419181704521,0.013127107896693023,0.7920450493693352,0.021398851928575505,0.6044677495956421,0.012879760836027944
16000,0.05,5.25,0.25,0.1,0.85,-2.5,0.9619505852460861,0.0157830213762966,0.7953590601682663,0.023273770927086487,0.6115235686302185,0.01894205435942831
16000,0.05,5.25,0.25,0.1,0.85,-2.0,0.9625394269824028,0.015035586588675716,0.8013686388731003,0.022198233571101317,0.611412763595581,0.020613394969759734
16000,0.05,5.25,0.25,0.1,0.85,-1.5,0.9688762724399567,0.01837660008565375,0.8085442930459976,0.023343240018429138,0.6166427880525589,0.014719981257822675
16000,0.05,5.25,0.25,0.1,0.8,-3.0,0.9653419181704521,0.013127107896693023,0.792755015194416,0.023116204879630408,0.6061827391386032,0.014495142569615541
16000,0.05,5.25,0.25,0.1,0.8,-2.5,0.9584819450974464,0.019242728043028668,0.7960960865020752,0.024240352167077154,0.6145966425538063,0.027064987986314234
16000,0.05,5.25,0.25,0.1,0.8,-2.0,0.9625394269824028,0.015035586588675716,0.8023247048258781,0.023573564823817113,0.6134601831436157,0.02220287677279264
16000,0.05,5.25,0.25,0.1,0.8,-1.5,0.971482902765274,0.014270455666809541,0.8099874034523964,0.022601929009979004,0.6157447099685669,0.014278737242227122
16000,0.05,5.25,0.25,0.15,1.0,-3.0,0.9698091521859169,0.01478685823092624,0.7751373499631882,0.020798804800697387,0.6014333292841911,0.015090379572550761
16000,0.05,5.25,0.25,0.15,1.0,-2.5,0.9691442847251892,0.010033545315452993,0.7899757251143456,0.02387361123477589,0.6059173196554184,0.013799034634189505
