num_fit_samples,sampling_lr,lengthscale,delta,eta,alpha,classifier_free_guidance_weight,mean (100th),std (100th),mean (80th),std (80th),mean (50th),std (50th)
15000,0.05,5.8,0.25,0.0,1.0,-3.0,0.9673597067594528,0.02356778170531505,0.8246518447995186,0.033278432672574056,0.6534706875681877,0.028553215040367043
15000,0.05,5.8,0.25,0.0,1.0,-2.5,0.9788170531392097,0.012528173554233543,0.8290739730000496,0.023544747615540852,0.6548674330115318,0.024181363766143854
15000,0.05,5.8,0.25,0.0,1.0,-2.0,0.9761923775076866,0.015673229030438156,0.8438956066966057,0.01952233545987995,0.6498281136155128,0.024347102425381795
15000,0.05,5.8,0.25,0.0,1.0,-1.5,0.9776689931750298,0.014495741055983329,0.8457342982292175,0.008372069819467283,0.6456843018531799,0.026404344719496913
15000,0.05,5.8,0.25,0.0,0.95,-3.0,0.9759810641407967,0.01158186568670659,0.827012374997139,0.026898393403809603,0.6526744142174721,0.0318701535397971
15000,0.05,5.8,0.25,0.0,0.95,-2.5,0.9788170531392097,0.012528173554233543,0.8325207158923149,0.021118931167676512,0.6611063629388809,0.021023179380732174
15000,0.05,5.8,0.25,0.0,0.95,-2.0,0.9761923775076866,0.015673229030438156,0.8446661233901978,0.018312961573807993,0.6504543274641037,0.02503901238052462
15000,0.05,5.8,0.25,0.0,0.95,-1.5,0.9776689931750298,0.014495741055983329,0.8456350862979889,0.008432690398565897,0.6466983556747437,0.025879818153245172
15000,0.05,5.8,0.25,0.0,0.9,-3.0,0.9750494733452797,0.011665461552012714,0.8300583809614182,0.02523831429543951,0.65801652520895,0.02490748297921087
15000,0.05,5.8,0.25,0.0,0.9,-2.5,0.9693130701780319,0.02260073355278518,0.8355551287531853,0.0202459751290213,0.6581221967935562,0.020948849215260048
15000,0.05,5.8,0.25,0.0,0.9,-2.0,0.9778983518481255,0.01211535051375268,0.8434304594993591,0.01870650970525904,0.6524102687835693,0.02310637562551962
15000,0.05,5.8,0.25,0.0,0.9,-1.5,0.9776689931750298,0.014495741055983329,0.8454173281788826,0.00846104102094397,0.6456211656332016,0.024453056770273915
15000,0.05,5.8,0.25,0.0,0.85,-3.0,0.9750494733452797,0.011665461552012714,0.8327848613262177,0.02364127398134521,0.660785511136055,0.022574432220528552
15000,0.05,5.8,0.25,0.0,0.85,-2.5,0.9702781587839127,0.023449587267416593,0.8364764079451561,0.013468448087457507,0.655072309076786,0.017896885714526016
15000,0.05,5.8,0.25,0.0,0.85,-2.0,0.9778983518481255,0.01211535051375268,0.8469261527061462,0.014236970484621145,0.652184784412384,0.02326780112974538
15000,0.05,5.8,0.25,0.0,0.85,-1.5,0.9776689931750298,0.014495741055983329,0.8462458327412605,0.008186941430319632,0.6456211656332016,0.024453056770273915
15000,0.05,5.8,0.25,0.0,0.8,-3.0,0.972352646291256,0.01852934722576373,0.8393278568983078,0.017587321802714013,0.6632581502199173,0.02181031595420339
15000,0.05,5.8,0.25,0.0,0.8,-2.5,0.9651396200060844,0.02221528040080891,0.8363810554146767,0.0120390391534157,0.651604950428009,0.016959837196453012
15000,0.05,5.8,0.25,0.0,0.8,-2.0,0.9778983518481255,0.01211535051375268,0.8483576849102974,0.01349341476799928,0.6498435661196709,0.02271324249441528
15000,0.05,5.8,0.25,0.0,0.8,-1.5,0.9776689931750298,0.014495741055983329,0.8475755602121353,0.008501136463170161,0.6471660733222961,0.02375614966263466
15000,0.05,5.8,0.25,0.05,1.0,-3.0,0.9732893854379654,0.015999655895941507,0.8232808858156204,0.023353658191200284,0.6583077386021614,0.02340176675791316
15000,0.05,5.8,0.25,0.05,1.0,-2.5,0.9683660268783569,0.017683691362064453,0.8306163176894188,0.020545890140599755,0.6537129431962967,0.023392366521493946
15000,0.05,5.8,0.25,0.05,1.0,-2.0,0.9735676944255829,0.014464904860378706,0.8408263996243477,0.017556636875370242,0.6482046023011208,0.026937986488651342
15000,0.05,5.8,0.25,0.05,1.0,-1.5,0.9776689931750298,0.014495741055983329,0.8416149616241455,0.006358687557938005,0.6444666609168053,0.024194493668313496
15000,0.05,5.8,0.25,0.05,0.95,-3.0,0.9735599681735039,0.0162321098034966,0.8277249187231064,0.021491065319404146,0.6602482125163078,0.025301122403674523
15000,0.05,5.8,0.25,0.05,0.95,-2.5,0.9630844667553902,0.018787798491936188,0.832533597946167,0.019511120040969835,0.6546406671404839,0.023791699767993543
15000,0.05,5.8,0.25,0.05,0.95,-2.0,0.9754978716373444,0.014980630360625618,0.8415350764989853,0.017500490661483188,0.6482767537236214,0.02680308714845426
15000,0.05,5.8,0.25,0.05,0.95,-1.5,0.9776689931750298,0.014495741055983329,0.8427990823984146,0.006775222452414278,0.6444022357463837,0.025259875450086865
15000,0.05,5.8,0.25,0.05,0.9,-3.0,0.9750494733452797,0.011665461552012714,0.8288098275661469,0.021542206787406166,0.661608874797821,0.026571518138133538
15000,0.05,5.8,0.25,0.05,0.9,-2.5,0.9632687196135521,0.02217476000125225,0.8363965228199959,0.020354224128385924,0.6568581685423851,0.01843921027308483
15000,0.05,5.8,0.25,0.05,0.9,-2.0,0.9761923775076866,0.015673229030438156,0.8412374332547188,0.015780963274262136,0.6481659486889839,0.02830633242833996
15000,0.05,5.8,0.25,0.05,0.9,-1.5,0.9776689931750298,0.014495741055983329,0.8453090935945511,0.006461205274736292,0.6434783861041069,0.023638947250827835
15000,0.05,5.8,0.25,0.05,0.85,-3.0,0.9750494733452797,0.011665461552012714,0.8312566876411438,0.020671912308296063,0.6567087024450302,0.02365322297836773
15000,0.05,5.8,0.25,0.05,0.85,-2.5,0.9632687196135521,0.02217476000125225,0.8380174562335014,0.021105096500084644,0.6529836505651474,0.0181573873488468
15000,0.05,5.8,0.25,0.05,0.85,-2.0,0.9761923775076866,0.015673229030438156,0.841752827167511,0.015115503107815257,0.6481981575489044,0.02877801923562171
15000,0.05,5.8,0.25,0.05,0.85,-1.5,0.9776689931750298,0.014495741055983329,0.8449045047163963,0.006838830442195377,0.6443597227334976,0.02252015181171106
15000,0.05,5.8,0.25,0.05,0.8,-3.0,0.9713875576853752,0.017557074108104666,0.832098089158535,0.017171097340423457,0.6579546853899956,0.0206261934674667
15000,0.05,5.8,0.25,0.05,0.8,-2.5,0.9658753499388695,0.019669776049556706,0.8417901992797852,0.01646069463139212,0.6527697518467903,0.016016143031358003
