num_fit_samples,sampling_lr,lengthscale,delta,eta,alpha,classifier_free_guidance_weight,mean (100th),std (100th),mean (80th),std (80th),mean (50th),std (50th)
17000,0.05,5.1,0.25,0.0,1.0,-3.0,0.9539167806506157,0.021324703126822372,0.7690040916204453,0.01922821721555738,0.5919151678681374,0.017303286222318696
17000,0.05,5.1,0.25,0.0,1.0,-2.5,0.9644889310002327,0.02585913430842537,0.7729211300611496,0.02073290160060348,0.6014719754457474,0.018702590051310784
17000,0.05,5.1,0.25,0.0,1.0,-2.0,0.964925728738308,0.023324164621731404,0.7842380255460739,0.019231040944546713,0.6124293804168701,0.014425659271763227
17000,0.05,5.1,0.25,0.0,1.0,-1.5,0.9613449797034264,0.02456266541783159,0.7978342846035957,0.025587884419833583,0.6059546694159508,0.013573783505670609
17000,0.05,5.1,0.25,0.0,0.95,-3.0,0.9574073255062103,0.024196751379554106,0.7739390432834625,0.01992543554105363,0.600378043949604,0.01995541892707289
17000,0.05,5.1,0.25,0.0,0.95,-2.5,0.9618036970496178,0.026989130857077673,0.7783379927277565,0.018227827645619452,0.6055024042725563,0.01170711688494889
17000,0.05,5.1,0.25,0.0,0.95,-2.0,0.964925728738308,0.023324164621731404,0.7842869907617569,0.020555244856563164,0.6145889237523079,0.016921464581701844
17000,0.05,5.1,0.25,0.0,0.95,-1.5,0.9613449797034264,0.02456266541783159,0.7944829016923904,0.025026787154410778,0.6071774587035179,0.016238232471964573
17000,0.05,5.1,0.25,0.0,0.9,-3.0,0.965211771428585,0.026287500094314183,0.7750033438205719,0.02058505117051663,0.606254905462265,0.025577685002572025
17000,0.05,5.1,0.25,0.0,0.9,-2.5,0.9613308161497116,0.026635542789967364,0.7786781564354897,0.018137557618459012,0.606830857694149,0.012903770568530164
17000,0.05,5.1,0.25,0.0,0.9,-2.0,0.9708373695611954,0.020412912410344625,0.7840653732419014,0.020468364495342777,0.6093112230300903,0.00928816952749111
17000,0.05,5.1,0.25,0.0,0.9,-1.5,0.9613320901989937,0.024548458698601144,0.7981022968888283,0.020341976291110224,0.6083602979779243,0.016294034297305613
17000,0.05,5.1,0.25,0.0,0.85,-3.0,0.9644889310002327,0.02585913430842537,0.7753757238388062,0.020668205391014348,0.6120583042502403,0.028238826015278176
17000,0.05,5.1,0.25,0.0,0.85,-2.5,0.9623190984129906,0.025374907364109786,0.7793559059500694,0.01707777657318067,0.6118676066398621,0.010066844077641062
17000,0.05,5.1,0.25,0.0,0.85,-2.0,0.965464323759079,0.02075404866824174,0.7824328541755676,0.020020346196056006,0.6129061356186867,0.008899989718177875
17000,0.05,5.1,0.25,0.0,0.85,-1.5,0.9613320901989937,0.024548458698601144,0.7977363541722298,0.02052671798282873,0.6091282516717911,0.01521481025547276
17000,0.05,5.1,0.25,0.0,0.8,-3.0,0.9592112302780151,0.02574738955433757,0.7739957422018051,0.01904445889148414,0.6103871166706085,0.0200753669260354
17000,0.05,5.1,0.25,0.0,0.8,-2.5,0.9623190984129906,0.025374907364109786,0.780824787914753,0.019496574673914666,0.6123830005526543,0.012185682937599519
17000,0.05,5.1,0.25,0.0,0.8,-2.0,0.9609970897436142,0.018589824927475747,0.7827227562665939,0.020207770415984247,0.6125453487038612,0.009400406785480741
17000,0.05,5.1,0.25,0.0,0.8,-1.5,0.9613320901989937,0.024548458698601144,0.7991730347275734,0.02135363976663235,0.6098614037036896,0.01551860237358583
17000,0.05,5.1,0.25,0.05,1.0,-3.0,0.9515188783407211,0.02153527291226998,0.7676395773887634,0.021432496628696104,0.5906756371259689,0.024104962654480824
17000,0.05,5.1,0.25,0.05,1.0,-2.5,0.9584033489227295,0.024316826575311222,0.7797012254595757,0.020966110086950405,0.6062033623456955,0.01837077978718808
17000,0.05,5.1,0.25,0.05,1.0,-2.0,0.9602227061986923,0.026178026882562166,0.7793443128466606,0.020677320200503377,0.6070937067270279,0.009043089959693983
17000,0.05,5.1,0.25,0.05,1.0,-1.5,0.9729298874735832,0.021204725494344035,0.7924754172563553,0.021850148199671685,0.6090341880917549,0.018005603018052933
17000,0.05,5.1,0.25,0.05,0.95,-3.0,0.9591158777475357,0.02448912954240328,0.7718452289700508,0.019855531882750552,0.6049187257885933,0.02956742814373562
17000,0.05,5.1,0.25,0.05,0.95,-2.5,0.9579304680228233,0.023856468527948725,0.7788830175995827,0.017171588392471356,0.6116176396608353,0.012120420050330804
17000,0.05,5.1,0.25,0.05,0.95,-2.0,0.9557554721832275,0.02352252285897424,0.7823813036084175,0.018750612752594518,0.6068424433469772,0.007866178345546582
17000,0.05,5.1,0.25,0.05,0.95,-1.5,0.9729298874735832,0.021204725494344035,0.7948320880532265,0.0211783110419071,0.6094142943620682,0.01763366642649992
17000,0.05,5.1,0.25,0.05,0.9,-3.0,0.9602832645177841,0.02299790814124049,0.7735705301165581,0.01932480118790384,0.605421245098114,0.02560244524304662
17000,0.05,5.1,0.25,0.05,0.9,-2.5,0.9579304680228233,0.023856468527948725,0.7800465300679207,0.018176547746593743,0.6146043688058853,0.013987203842116854
17000,0.05,5.1,0.25,0.05,0.9,-2.0,0.9613681808114052,0.024726429791815715,0.7830783799290657,0.0205855953489198,0.6089504435658455,0.007885466445165799
17000,0.05,5.1,0.25,0.05,0.9,-1.5,0.9729298874735832,0.021204725494344035,0.7959840074181557,0.021075009128571708,0.6099116578698158,0.017286706228805713
17000,0.05,5.1,0.25,0.05,0.85,-3.0,0.9519543945789337,0.025211244204575007,0.7729984447360039,0.019853286990651024,0.6064494624733925,0.02168243628905912
17000,0.05,5.1,0.25,0.05,0.85,-2.5,0.9579304680228233,0.023856468527948725,0.7818169295787811,0.018314649783224335,0.6127850115299225,0.0096791022983323
17000,0.05,5.1,0.25,0.05,0.85,-2.0,0.9613681808114052,0.024726429791815715,0.7838063910603523,0.020710285524878694,0.6078848466277122,0.008289017948045012
17000,0.05,5.1,0.25,0.05,0.85,-1.5,0.9729298874735832,0.021204725494344035,0.7948758974671364,0.022483763546996518,0.6085909456014633,0.017149982829934136
17000,0.05,5.1,0.25,0.05,0.8,-3.0,0.950064167380333,0.025372880352923222,0.7764271423220634,0.016593971415684725,0.6098459362983704,0.01913471017506584
17000,0.05,5.1,0.25,0.05,0.8,-2.5,0.9661588296294212,0.02448830775891199,0.7802191898226738,0.021377148537094087,0.613328754901886,0.009610290464486203
17000,0.05,5.1,0.25,0.05,0.8,-2.0,0.9613681808114052,0.024726429791815715,0.7847469970583916,0.020690961923502393,0.6064713671803474,0.00957049924043193
17000,0.05,5.1,0.25,0.05,0.8,-1.5,0.9729298874735832,0.021204725494344035,0.7958435565233231,0.02230273360844802,0.6084749847650528,0.017355373883285948
17000,0.05,5.1,0.25,0.1,1.0,-3.0,0.9578415527939796,0.023172244953334524,0.7707371339201927,0.025416353115227115,0.5944870188832283,0.025857207477105612
17000,0.05,5.1,0.25,0.1,1.0,-2.5,0.9598206952214241,0.023048138248248067,0.7765315175056458,0.028434944125039347,0.6049367561936378,0.01833016345549392
17000,0.05,5.1,0.25,0.1,1.0,-2.0,0.9613681808114052,0.024726429791815715,0.7830307111144066,0.022630221235222354,0.6046004593372345,0.012377720804390528
17000,0.05,5.1,0.25,0.1,1.0,-1.5,0.963650107383728,0.024705940692532017,0.7931286916136742,0.0174943180948385,0.6086643934249878,0.016254205340758086
17000,0.05,5.1,0.25,0.1,0.95,-3.0,0.9578415527939796,0.023172244953334524,0.7695607244968414,0.02404055652239979,0.600941114127636,0.023405942499226836
17000,0.05,5.1,0.25,0.1,0.95,-2.5,0.9581263139843941,0.02664700671756561,0.7755793035030365,0.02377740345165271,0.6056531593203545,0.018352491405351428
17000,0.05,5.1,0.25,0.1,0.95,-2.0,0.9661356285214424,0.02227677077530958,0.7830616310238838,0.022763074547463794,0.6061080098152161,0.008591318791239918
17000,0.05,5.1,0.25,0.1,0.95,-1.5,0.963650107383728,0.024705940692532017,0.7929573133587837,0.017475493702386245,0.6103677898645401,0.01633793387949146
17000,0.05,5.1,0.25,0.1,0.9,-3.0,0.9638073146343231,0.021953107106005492,0.7763949334621429,0.022719008506451192,0.6038647294044495,0.021847373537283724
17000,0.05,5.1,0.25,0.1,0.9,-2.5,0.9616039767861366,0.024843948762779865,0.7789435759186745,0.02209000627765474,0.6086785644292831,0.015042374852770279
17000,0.05,5.1,0.25,0.1,0.9,-2.0,0.9661356285214424,0.02227677077530958,0.7866707220673561,0.021798858740509304,0.6062020659446716,0.009263163458101908
17000,0.05,5.1,0.25,0.1,0.9,-1.5,0.963650107383728,0.024705940692532017,0.7934533879160881,0.01843047868678909,0.6104760244488716,0.01647365567744436
17000,0.05,5.1,0.25,0.1,0.85,-3.0,0.959158405661583,0.023753042167675605,0.7761655822396278,0.021351625417335127,0.6073797643184662,0.020109250881991423
17000,0.05,5.1,0.25,0.1,0.85,-2.5,0.9579472094774246,0.02681260463754318,0.7797128111124039,0.023017922668202538,0.6109179779887199,0.013777074548317452
17000,0.05,5.1,0.25,0.1,0.85,-2.0,0.9661356285214424,0.02227677077530958,0.786478728055954,0.023429436071925217,0.6076799780130386,0.008020108605138715
17000,0.05,5.1,0.25,0.1,0.85,-1.5,0.963650107383728,0.024705940692532017,0.7934533879160881,0.01843047868678909,0.6104644238948822,0.014249388201056257
17000,0.05,5.1,0.25,0.1,0.8,-3.0,0.959158405661583,0.023753042167675605,0.7798674330115318,0.018626317102851942,0.6124461367726326,0.022552745469633532
17000,0.05,5.1,0.25,0.1,0.8,-2.5,0.9592808112502098,0.02728043017819929,0.7811005190014839,0.022737486016236503,0.6099026426672935,0.012553502583679065
