sampling_lr,lengthscale,delta,eta,alpha,classifier_free_guidance_weight,mean (100th),std (100th),mean (80th),std (80th),mean (50th),std (50th)
0.001,1.0,0.25,0.3,0.9,-1.5,0.949852354824543,0.010786035195299573,0.8388383612036705,0.010932912745281059,0.7189420983195305,0.00764909570517863
0.001,1.0,0.25,0.3,0.9,-1.5,0.949852354824543,0.010786035195299573,0.8388383612036705,0.010932912745281059,0.7189420983195305,0.00764909570517863
0.001,1.0,0.25,0.3,0.9,-1.5,0.949852354824543,0.010786035195299573,0.8388383612036705,0.010932912745281059,0.7189420983195305,0.00764909570517863
0.001,1.0,0.25,0.0,0.9,-1.5,0.962280161678791,0.020133242335716832,0.8412768244743347,0.010205018586284836,0.720924086868763,0.017192043512211902
0.001,1.0,0.25,0.05,0.9,-1.5,0.9501241222023964,0.017871628048147865,0.8469475135207176,0.012474308054119981,0.7126335203647614,0.01814760243529692
0.001,1.0,0.25,0.1,0.9,-1.5,0.9603364318609238,0.012124389040582184,0.8457969576120377,0.013437813170142449,0.7203948721289635,0.009260467633646983
0.001,1.0,0.25,0.15,0.9,-1.5,0.9615773558616638,0.0114673081818174,0.8378537371754646,0.011569447369211068,0.7168560549616814,0.008143072492589349
0.001,1.0,0.25,0.3,0.9,-2.0,0.9521039500832558,0.012453439903386248,0.8291343748569489,0.011998803693439933,0.702874556183815,0.018661663574478432
0.001,1.0,0.25,0.0,0.9,-2.0,0.9568286687135696,0.011143412394248094,0.8330917432904243,0.01627476992051709,0.7044575959444046,0.007900856307155832
0.001,1.0,0.25,0.05,0.9,-2.0,0.9427617341279984,0.015758159984072526,0.8335889577865601,0.0074316173697654975,0.7054138630628586,0.012628201850739922
0.001,1.0,0.25,0.1,0.9,-2.0,0.94436264783144,0.01943715936390032,0.8332198932766914,0.013810274034668944,0.7060201913118362,0.011608200573970773
0.001,1.0,0.25,0.15,0.9,-2.0,0.945168524980545,0.014822509258276875,0.8277629241347313,0.01517249784505373,0.7026481702923775,0.015849313983815304
0.001,1.0,0.25,0.3,0.9,-4.0,0.9032165333628654,0.030549398427205842,0.7303089499473572,0.01792219228100727,0.5409910343587399,0.03408242767621396
0.001,1.0,0.25,0.0,0.9,-4.0,0.9173317551612854,0.030033580406643362,0.7268108651041985,0.0173824929307009,0.5079972334206104,0.06776052065332526
0.001,1.0,0.25,0.05,0.9,-4.0,0.9013259708881378,0.03201898935250299,0.7159669250249863,0.021238971638671608,0.5421853587031364,0.060699784252268775
0.001,1.0,0.25,0.1,0.9,-4.0,0.9269581064581871,0.024960376562696264,0.7216300740838051,0.017730224440871054,0.5338257141411304,0.042939890716092916
0.001,1.0,0.25,0.15,0.9,-4.0,0.919439509510994,0.04030808172586318,0.7356957942247391,0.018769475248012733,0.5110141858458519,0.06811867704457143
