num_fit_samples,sampling_lr,lengthscale,delta,eta,alpha,classifier_free_guidance_weight,mean (100th),std (100th),mean (80th),std (80th),mean (50th),std (50th)
13000,0.05,5.5,0.25,0.0,1.0,-3.0,0.9631488844752312,0.01979092073840511,0.7847199216485023,0.02014901851130381,0.6091385632753372,0.018737794931688315
13000,0.05,5.5,0.25,0.0,1.0,-2.5,0.95047777146101,0.017899827742176445,0.7917177677154541,0.017178660887829614,0.6134228333830833,0.011595342494766927
13000,0.05,5.5,0.25,0.0,1.0,-2.0,0.9656666219234467,0.020677597698952936,0.8012191727757454,0.012762643893145692,0.6222232803702354,0.0188969037241897
13000,0.05,5.5,0.25,0.0,1.0,-1.5,0.9712793305516243,0.019349250731596636,0.8071656078100204,0.014942314624405232,0.6125530898571014,0.013699972038419751
13000,0.05,5.5,0.25,0.0,0.95,-3.0,0.96324422955513,0.01974903165022138,0.7903094440698624,0.017994082802832097,0.610767237842083,0.008047346810839245
13000,0.05,5.5,0.25,0.0,0.95,-2.5,0.9489831104874611,0.015482567096481239,0.7926351875066757,0.01284694670409756,0.6174738705158234,0.010289260778666636
13000,0.05,5.5,0.25,0.0,0.95,-2.0,0.9656666219234467,0.020677597698952936,0.8026378229260445,0.013321003471977219,0.6181838288903236,0.023371879055938967
13000,0.05,5.5,0.25,0.0,0.95,-1.5,0.9672733768820763,0.018684668248354474,0.8077866584062576,0.01564415282873971,0.6143930703401566,0.015142779687526614
13000,0.05,5.5,0.25,0.0,0.9,-3.0,0.96324422955513,0.01974903165022138,0.7914755344390869,0.012218523752338341,0.6143144741654396,0.011118720869484974
13000,0.05,5.5,0.25,0.0,0.9,-2.5,0.9489831104874611,0.015482567096481239,0.7938528209924698,0.011765946172042704,0.6169958412647247,0.009798367599418547
13000,0.05,5.5,0.25,0.0,0.9,-2.0,0.9656666219234467,0.020677597698952936,0.8048823848366737,0.013599628451061222,0.6219191923737526,0.0205996793103636
13000,0.05,5.5,0.25,0.0,0.9,-1.5,0.9672733768820763,0.018684668248354474,0.8082324787974358,0.015984984759204745,0.6124603152275085,0.015473920755605788
13000,0.05,5.5,0.25,0.0,0.85,-3.0,0.9618101343512535,0.018671067657925304,0.7900955602526665,0.01416457639600542,0.6125930324196815,0.006776218840285071
13000,0.05,5.5,0.25,0.0,0.85,-2.5,0.94997139275074,0.014090766654600344,0.7964427024126053,0.012857939266864434,0.6170396506786346,0.0100785196703896
13000,0.05,5.5,0.25,0.0,0.85,-2.0,0.9656666219234467,0.020677597698952936,0.8046311214566231,0.013628314286705632,0.6231793388724327,0.020340586582987975
13000,0.05,5.5,0.25,0.0,0.85,-1.5,0.9672733768820763,0.018684668248354474,0.809468150138855,0.014123212762408476,0.6122605949640274,0.013529607541324037
13000,0.05,5.5,0.25,0.0,0.8,-3.0,0.9618101343512535,0.018671067657925304,0.7889333218336105,0.018145356519036367,0.6162910237908363,0.007334719972735962
13000,0.05,5.5,0.25,0.0,0.8,-2.5,0.94997139275074,0.014090766654600344,0.798647329211235,0.009501107267858805,0.6177225634455681,0.010132874178859483
13000,0.05,5.5,0.25,0.0,0.8,-2.0,0.9656666219234467,0.020677597698952936,0.8044326901435852,0.013555924323386403,0.6223083212971687,0.020208919912758326
13000,0.05,5.5,0.25,0.0,0.8,-1.5,0.9672733768820763,0.018684668248354474,0.8111032620072365,0.011531629210820618,0.6110609993338585,0.011959794046149235
13000,0.05,5.5,0.25,0.0,0.7,-3.0,0.9618101343512535,0.018671067657925304,0.7887181416153908,0.01751909497740445,0.6165384128689766,0.007960763518432333
13000,0.05,5.5,0.25,0.0,0.7,-2.5,0.9521850422024727,0.018022935250073088,0.8006960451602936,0.009008504506491663,0.6244704276323318,0.010704823130803953
13000,0.05,5.5,0.25,0.0,0.7,-2.0,0.9656666219234467,0.020677597698952936,0.805739238858223,0.013526884578123823,0.6218457445502281,0.02027890905595559
13000,0.05,5.5,0.25,0.0,0.7,-1.5,0.9672733768820763,0.018684668248354474,0.8068357557058334,0.013918996690500497,0.6127244532108307,0.014745802997962808
13000,0.05,5.5,0.25,0.05,1.0,-3.0,0.9656485766172409,0.021492736627711298,0.7862107306718826,0.008605079852142936,0.6094426438212395,0.019205469643058626
13000,0.05,5.5,0.25,0.05,1.0,-2.5,0.9550880342721939,0.02456450804431105,0.7992748320102692,0.011678025685569941,0.6116021648049355,0.007721225019875964
13000,0.05,5.5,0.25,0.05,1.0,-2.0,0.9636926278471947,0.020633093503410718,0.8043631166219711,0.012392491557354394,0.6207196041941643,0.013420903802485548
13000,0.05,5.5,0.25,0.05,1.0,-1.5,0.9672733768820763,0.018684668248354474,0.8059428185224533,0.021795634352492328,0.6137758791446686,0.013658426138310146
13000,0.05,5.5,0.25,0.05,0.95,-3.0,0.9656485766172409,0.021492736627711298,0.7937355637550354,0.01177489662549064,0.6148852705955505,0.023681671993170204
13000,0.05,5.5,0.25,0.05,0.95,-2.5,0.9550880342721939,0.02456450804431105,0.8010619804263115,0.008921444740618683,0.6146881282329559,0.007818596628996812
13000,0.05,5.5,0.25,0.05,0.95,-2.0,0.9628499522805214,0.01933738985002009,0.8049287647008896,0.011996438473221512,0.6172367930412292,0.01110407153687794
13000,0.05,5.5,0.25,0.05,0.95,-1.5,0.9672733768820763,0.018684668248354474,0.8054042309522629,0.02177550222067907,0.6145708858966827,0.014309424918346695
