num_fit_samples,sampling_lr,lengthscale,delta,eta,alpha,classifier_free_guidance_weight,mean (100th),std (100th),mean (80th),std (80th),mean (50th),std (50th)
15000,0.05,5.75,0.25,0.0,1.0,-3.0,0.9736089408397675,0.012400180867509016,0.8188754916191101,0.01867766338145884,0.6522620916366577,0.019619686117327374
15000,0.05,5.75,0.25,0.0,1.0,-2.5,0.9715576395392418,0.01658257777611183,0.8269569724798203,0.009684236739011242,0.6499492302536964,0.016527122171400264
15000,0.05,5.75,0.25,0.0,1.0,-2.0,0.9836025461554527,0.00949689163450601,0.8421316370368004,0.015003641510774048,0.6490008905529976,0.013824222085151126
15000,0.05,5.75,0.25,0.0,1.0,-1.5,0.9838318899273872,0.010465729817798341,0.8457639366388321,0.011031227534395614,0.6563453450798988,0.025992585730101655
15000,0.05,5.75,0.25,0.0,0.95,-3.0,0.9736991301178932,0.012376382366493952,0.817657858133316,0.013263490950769332,0.653776079416275,0.01715908803489035
15000,0.05,5.75,0.25,0.0,0.95,-2.5,0.9715576395392418,0.01658257777611183,0.8261464983224869,0.009657186443621128,0.6539822444319725,0.01255137718787319
15000,0.05,5.75,0.25,0.0,0.95,-2.0,0.9836025461554527,0.00949689163450601,0.8461079597473145,0.012316615509791027,0.6528290212154388,0.011171839044116677
15000,0.05,5.75,0.25,0.0,0.95,-1.5,0.9838318899273872,0.010465729817798341,0.8447189554572105,0.012213167782388745,0.6547592058777809,0.025168678327154827
15000,0.05,5.75,0.25,0.0,0.9,-3.0,0.9736991301178932,0.012376382366493952,0.8240204751491547,0.010559194816528355,0.6600523591041565,0.015785866564419077
15000,0.05,5.75,0.25,0.0,0.9,-2.5,0.9733254611492157,0.013460779734175202,0.8329807072877884,0.007490805077359864,0.6511462479829788,0.012962454259356746
15000,0.05,5.75,0.25,0.0,0.9,-2.0,0.9826181307435036,0.011747135121117197,0.8454740196466446,0.01114038065913472,0.6525674611330032,0.010439531951822428
15000,0.05,5.75,0.25,0.0,0.9,-1.5,0.9838318899273872,0.010465729817798341,0.8429202064871788,0.012303174737503376,0.6549988687038422,0.025046657491375236
15000,0.05,5.75,0.25,0.0,0.85,-3.0,0.9717921540141106,0.0164835438694023,0.8273783102631569,0.007442896698309169,0.6629102528095245,0.013826027130541561
15000,0.05,5.75,0.25,0.0,0.85,-2.5,0.976051926612854,0.013480343816454757,0.8313520476222038,0.00871754382582952,0.6515740305185318,0.01518549533949164
15000,0.05,5.75,0.25,0.0,0.85,-2.0,0.9820627868175507,0.011456671061419847,0.842547819018364,0.013100420976500613,0.6538572385907173,0.015451290063964757
15000,0.05,5.75,0.25,0.0,0.85,-1.5,0.9838318899273872,0.010465729817798341,0.8429202064871788,0.012303174737503376,0.6520572155714035,0.02449664923995541
15000,0.05,5.75,0.25,0.0,0.8,-3.0,0.9711182713508606,0.016622159911767312,0.8276952803134918,0.00937800947249198,0.6594416126608849,0.014215360026807553
15000,0.05,5.75,0.25,0.0,0.8,-2.5,0.976051926612854,0.013480343816454757,0.8317927122116089,0.009967361748775366,0.6521693095564842,0.013024120939119017
15000,0.05,5.75,0.25,0.0,0.8,-2.0,0.9820627868175507,0.011456671061419847,0.8456505388021469,0.011785063774976795,0.6569354757666588,0.01656442673583502
15000,0.05,5.75,0.25,0.0,0.8,-1.5,0.9838318899273872,0.010465729817798341,0.8420285657048225,0.012065454726278629,0.6517492681741714,0.024340645967725342
15000,0.05,5.75,0.25,0.05,1.0,-3.0,0.975089430809021,0.011488112866209042,0.8201575577259064,0.014044398078575656,0.6519425362348557,0.0169622905443147
15000,0.05,5.75,0.25,0.05,1.0,-2.5,0.9770775735378265,0.008606395109429763,0.8239186927676201,0.010171802431680315,0.6460437849164009,0.019226308710703313
15000,0.05,5.75,0.25,0.05,1.0,-2.0,0.9820486158132553,0.00923327702180798,0.836986668407917,0.011906520709484269,0.649949237704277,0.020333514995887043
15000,0.05,5.75,0.25,0.05,1.0,-1.5,0.9841166511178017,0.010614772417643657,0.8406369909644127,0.00902189972683698,0.649936355650425,0.01924653129288498
15000,0.05,5.75,0.25,0.05,0.95,-3.0,0.9723243042826653,0.017545771619491356,0.8244508504867554,0.009964335149942402,0.6533122137188911,0.018202594625594627
15000,0.05,5.75,0.25,0.05,0.95,-2.5,0.9770775735378265,0.008606395109429763,0.8299205228686333,0.007736722983524812,0.645131528377533,0.020386144517474405
15000,0.05,5.75,0.25,0.05,0.95,-2.0,0.9801326096057892,0.011891694487483555,0.8395701050758362,0.017516436116269463,0.6516706719994545,0.02198753132037046
15000,0.05,5.75,0.25,0.05,0.95,-1.5,0.9841166511178017,0.010614772417643657,0.8398136347532272,0.010255882293174578,0.650127038359642,0.017204691129915708
15000,0.05,5.75,0.25,0.05,0.9,-3.0,0.9723243042826653,0.017545771619491356,0.8276076689362526,0.009219262256911363,0.6574805155396461,0.017151168663090334
15000,0.05,5.75,0.25,0.05,0.9,-2.5,0.9759875014424324,0.008941133264545095,0.8300055637955666,0.00762807792083079,0.6413484811782837,0.018074352574775635
15000,0.05,5.75,0.25,0.05,0.9,-2.0,0.9801326096057892,0.011891694487483555,0.8407645374536514,0.016421984721642725,0.6559420526027679,0.018841036239737978
15000,0.05,5.75,0.25,0.05,0.9,-1.5,0.9841166511178017,0.010614772417643657,0.8417605683207512,0.012743773558303896,0.6527207940816879,0.01864963413390823
15000,0.05,5.75,0.25,0.05,0.85,-3.0,0.977064698934555,0.00871014692199475,0.8274646401405334,0.011437180489848037,0.6543932631611824,0.012756790973738632
15000,0.05,5.75,0.25,0.05,0.85,-2.5,0.9760532230138779,0.008438796690638139,0.8293200805783272,0.011560220880617231,0.6490253731608391,0.012998874451240728
15000,0.05,5.75,0.25,0.05,0.85,-2.0,0.9820627868175507,0.011456671061419847,0.8424447476863861,0.017858719284602278,0.6577395051717758,0.01984017973587461
15000,0.05,5.75,0.25,0.05,0.85,-1.5,0.9841166511178017,0.010614772417643657,0.8440631106495857,0.014442905056194133,0.6550980806350708,0.020798300513224777
15000,0.05,5.75,0.25,0.05,0.8,-3.0,0.977064698934555,0.00871014692199475,0.8280509114265442,0.011495098401358601,0.6533920988440514,0.01685792334880933
15000,0.05,5.75,0.25,0.05,0.8,-2.5,0.9801725596189499,0.008783690450122008,0.8315968662500381,0.012348825576038377,0.6454807072877884,0.014967726449976381
15000,0.05,5.75,0.25,0.05,0.8,-2.0,0.9820627868175507,0.011456671061419847,0.8426625058054924,0.01774798163423482,0.6537747904658318,0.021180632562717256
15000,0.05,5.75,0.25,0.05,0.8,-1.5,0.9841166511178017,0.010614772417643657,0.8440592363476753,0.013367198244723632,0.6536034196615219,0.019088587442981156
